,0
532,2759507
533,2759509
534,2759321
535,2760069
536,2759319
537,2759302
538,2759631
539,2759311
540,2759316
541,2759314
542,2759322
543,2759990
544,2760019
545,2759744
546,2759275
547,2759820
548,2759284
549,2759394
550,2759278
551,2759265
552,2759262
553,2759268
554,2759270
555,2759277
556,2759963
557,2759274
558,2759281
559,2759561
560,2759562
561,2759291
562,2759283
563,2759261
564,2759286
565,2760128
566,2759294
567,2759349
568,2759343
569,2759267
570,2759282
571,2759273
572,2759266
573,2760059
574,2759272
575,2759761
576,2759180
577,2759182
578,2759816
579,2759819
580,2759618
581,2759193
582,2759196
583,2759380
584,2759248
585,2759242
586,2759440
587,2759450
588,2759187
589,2759183
590,2759186
591,2759883
592,2759874
593,2759195
594,2759490
595,2759974
596,2759559
597,2759194
598,2759197
599,2760129
600,2759179
601,2759345
602,2759185
603,2759650
604,2759191
605,2760040
606,2759188
607,2759697
608,2758991
609,2759765
610,2759569
611,2758997
612,2759214
613,2759175
614,2758994
615,2759002
616,2759839
617,2759019
618,2759453
619,2758992
620,2759003
621,2759917
622,2759042
623,2758995
624,2759104
625,2759099
626,2760098
627,2759312
628,2758998
629,2759630
630,2759256
631,2759255
632,2759083
633,2759085
634,2758996
635,2759138
636,2759693
637,2758940
638,2759763
639,2759570
640,2759355
641,2759215
642,2759178
643,2758954
644,2759837
645,2759020
646,2759021
647,2759451
648,2758926
649,2759931
650,2759921
651,2759038
652,2759511
653,2759105
654,2760084
655,2759004
656,2759329
657,2759332
658,2758932
659,2759254
660,2758916
661,2758915
662,2760003
663,2759139
664,2759694
665,2758941
666,2759762
667,2759567
668,2759354
669,2759216
670,2758971
671,2758955
672,2759836
673,2759016
674,2759018
675,2759455
676,2758923
677,2758924
678,2759039
679,2759514
680,2758917
681,2758914
682,2759103
683,2759100
684,2760101
685,2758999
686,2759000
687,2759328
688,2758931
689,2759632
690,2759259
691,2759074
692,2759987
693,2760007
694,2759140
695,2759137
696,2759953
697,2759936
698,2759951
699,2759954
700,2759926
701,2759933
702,2759919
703,2759942
704,2759916
705,2759946
706,2759941
707,2759922
708,2759918
709,2759947
710,2759930
711,2759955
712,2759913
713,2759927
714,2760073
715,2760087
716,2759915
717,2759937
718,2759909
719,2759914
720,2759949
721,2759911
722,2759952
723,2759948
724,2759944
725,2760032
726,2760006
727,2759923
728,2759935
729,2760092
730,2760077
731,2760096
732,2760099
733,2760081
734,2760078
735,2760066
736,2760064
737,2760063
738,2760104
739,2760114
740,2760086
741,2760085
742,2760111
743,2760106
744,2760062
745,2760070
746,2760076
747,2760091
748,2760089
749,2760100
750,2760068
751,2760109
752,2760090
753,2760088
754,2760072
755,2760094
756,2760079
757,2760112
758,2760075
759,2759754
760,2758960
761,2759778
762,2759818
763,2759623
764,2758961
765,2758957
766,2759389
767,2759397
768,2759252
769,2759443
770,2759203
771,2759200
772,2758990
773,2759865
774,2759035
775,2759493
776,2758965
777,2759976
778,2759566
779,2758963
780,2759112
781,2760120
782,2759010
783,2759338
784,2758959
785,2758958
786,2759636
787,2759643
788,2758962
789,2759165
790,2759705
791,2759828
792,2759779
793,2759699
794,2759711
795,2759717
796,2759721
797,2759713
798,2759725
799,2759714
800,2759703
801,2759870
802,2759718
803,2759722
804,2759724
805,2759723
806,2760121
807,2759707
808,2759702
809,2759710
810,2759698
811,2759708
812,2759726
813,2759701
814,2759730
815,2760060
816,2759727
817,2759993
818,2759986
819,2760008
820,2760021
821,2759997
822,2760026
823,2760027
824,2759999
825,2760018
826,2760009
827,2760004
828,2760028
829,2759984
830,2760002
831,2759985
832,2760065
833,2759995
834,2760022
835,2759992
836,2760001
837,2760013
838,2760016
839,2760012
840,2759998
841,2759168
842,2759386
843,2759218
844,2759449
845,2759202
846,2759161
847,2759166
848,2759843
849,2759147
850,2759496
851,2759167
852,2759959
853,2759157
854,2759146
855,2759552
856,2759160
857,2759135
858,2759145
859,2759156
860,2760130
861,2759158
862,2759690
863,2759293
864,2759289
865,2759144
866,2759148
867,2759155
868,2759134
869,2760053
870,2760052
871,2759396
872,2759209
873,2759031
