,0
532,2760059
533,2760050
534,2759561
535,2759562
536,2759272
537,2759277
538,2759261
539,2759286
540,2760128
541,2759278
542,2759274
543,2759281
544,2759761
545,2759180
546,2759182
547,2759816
548,2759819
549,2759618
550,2759193
551,2759196
552,2759380
553,2759440
554,2759450
555,2759883
556,2759874
557,2759650
558,2759490
559,2759345
560,2759195
561,2759974
562,2759194
563,2759191
564,2759179
565,2760040
566,2759559
567,2759188
568,2759197
569,2760129
570,2759248
571,2759242
572,2759183
573,2759186
574,2759185
575,2759189
576,2759697
577,2758991
578,2759569
579,2758997
580,2759175
581,2758994
582,2759839
583,2759630
584,2759453
585,2759312
586,2759255
587,2759917
588,2759083
589,2758995
590,2758996
591,2760031
592,2759138
593,2759142
594,2759003
595,2759104
596,2759099
597,2760098
598,2758998
599,2759042
600,2759693
601,2758940
602,2759763
603,2759570
604,2759355
605,2758972
606,2759837
607,2759629
608,2759451
609,2759329
610,2759332
611,2759254
612,2759020
613,2759021
614,2759921
615,2758916
616,2758915
617,2759004
618,2760003
619,2759511
620,2759139
621,2758926
622,2759105
623,2760084
624,2759215
625,2758954
626,2759038
627,2759694
628,2758941
629,2759762
630,2759567
631,2759354
632,2758971
633,2759836
634,2759632
635,2759455
636,2759328
637,2759259
638,2759016
639,2759018
640,2759074
641,2758914
642,2758999
643,2759000
644,2759987
645,2759514
646,2759140
647,2759137
648,2758923
649,2758924
650,2759103
651,2759100
652,2760101
653,2760071
654,2759216
655,2758955
656,2758931
657,2759039
658,2759936
659,2759951
660,2759954
661,2759926
662,2759942
663,2759946
664,2759914
665,2759918
666,2759915
667,2759937
668,2759911
669,2759941
670,2759922
671,2759948
672,2759927
673,2759944
674,2760032
675,2760006
676,2759923
677,2759935
678,2759947
679,2760073
680,2760087
681,2759933
682,2759916
683,2759909
684,2759930
685,2760092
686,2760077
687,2760096
688,2760081
689,2760078
690,2760064
691,2760088
692,2760114
693,2760109
694,2760063
695,2760104
696,2760085
697,2760111
698,2760094
699,2760079
700,2760076
701,2760112
702,2760100
703,2760068
704,2760113
705,2760062
706,2760070
707,2760091
708,2760089
709,2760099
710,2760066
711,2760090
712,2760106
713,2759754
714,2758960
715,2759778
716,2759818
717,2759623
718,2758957
719,2759389
720,2759397
721,2759443
722,2759203
723,2759200
724,2758990
725,2758983
726,2759865
727,2759636
728,2759643
729,2759493
730,2759338
731,2758963
732,2759010
733,2759566
734,2759165
735,2758965
736,2759112
737,2760120
738,2759252
739,2758959
740,2759705
741,2759828
742,2759779
743,2759716
744,2759699
745,2759711
746,2759717
747,2759721
748,2759713
749,2759725
750,2759714
751,2759870
752,2759708
753,2759702
754,2759726
755,2759718
756,2759970
757,2759701
758,2759723
759,2759730
760,2759707
761,2760060
762,2759727
763,2759722
764,2760121
765,2759703
766,2759706
767,2759710
768,2759724
769,2759993
770,2759986
771,2760014
772,2760000
773,2760021
774,2759997
775,2760033
776,2760025
777,2760022
778,2760001
779,2760026
780,2760027
781,2759999
782,2760018
783,2760013
784,2760016
785,2760002
786,2760012
787,2759988
788,2759984
789,2759998
790,2759985
791,2760065
792,2760008
793,2760005
794,2759992
795,2760009
796,2760004
797,2759168
