,lowest_price_good_now,id,dateutc,listing_count,avg_price,lowest_price_good_ago,lowest_price,highest_price,city,venuename,venuescore,ticket_score,home_team,away_team,hometeamscore,awayteamscore,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
17,48.0,2759689,2016-02-07,3932.0,145.0,45.0,45.0,6505.0,Miami,American Airlines Arena,0.85776,0.83866,Miami Heat,Los Angeles Clippers,0.78556,0.75476,70,2015-11-29,2,0.667,1.0,5,2,0.5,1.0,15,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-07
18,15.0,2759645,2016-03-04,4277.0,68.0,11.0,11.0,4140.0,Miami,American Airlines Arena,0.85776,0.80074,Miami Heat,Phoenix Suns,0.78556,0.65702,96,2015-11-29,2,0.667,1.0,5,1,0.438,-4.0,20,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-03-04
19,74.0,2759662,2016-01-02,3210.0,225.0,69.0,69.0,10053.0,Miami,American Airlines Arena,0.85776,0.83816,Miami Heat,Dallas Mavericks,0.78556,0.72552,34,2015-11-29,2,0.667,1.0,5,3,0.588,1.0,9,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-01-02
20,26.0,2759667,2015-12-13,3363.0,92.0,27.0,27.0,4140.0,Miami,American Airlines Arena,0.85776,0.81584,Miami Heat,Memphis Grizzlies,0.78556,0.6739,14,2015-11-29,2,0.667,1.0,5,2,0.529,-1.0,14,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-13
21,48.0,2759682,2016-02-10,3995.0,152.0,48.0,48.0,6800.0,Miami,American Airlines Arena,0.85776,0.83696,Miami Heat,San Antonio Spurs,0.78556,0.70492,73,2015-11-29,2,0.667,1.0,5,1,0.824,5.0,2,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-02-10
22,69.0,2760131,2016-02-25,3474.0,232.0,59.0,59.0,10644.0,Miami,American Airlines Arena,0.85776,0.85316,Miami Heat,Golden State Warriors,0.78556,0.75952,88,2015-11-29,2,0.667,1.0,5,3,1.0,18.0,1,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-02-25
23,92.0,2759656,2016-03-19,4098.0,271.0,100.0,100.0,10053.0,Miami,American Airlines Arena,0.85776,0.87339,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,111,2015-11-29,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-19
24,29.0,2759634,2016-01-31,3605.0,89.0,22.0,22.0,4140.0,Miami,American Airlines Arena,0.85776,0.80844,Miami Heat,Atlanta Hawks,0.78556,0.68801,63,2015-11-29,2,0.667,1.0,5,0,0.579,-1.0,11,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-01-31
25,23.0,2759639,2016-03-26,3893.0,98.0,23.0,23.0,4140.0,Miami,American Airlines Arena,0.85776,0.81738,Miami Heat,Orlando Magic,0.78556,0.67859,118,2015-11-29,2,0.667,1.0,5,0,0.5,2.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-26
26,18.0,2759646,2016-04-10,4151.0,85.0,10.0,10.0,4731.0,Miami,American Airlines Arena,0.85776,0.81302,Miami Heat,Orlando Magic,0.78556,0.67859,133,2015-11-29,2,0.667,1.0,5,0,0.5,2.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-04-10
27,45.0,2759661,2015-12-25,3228.0,136.0,46.0,46.0,5914.0,Miami,American Airlines Arena,0.85776,0.84441,Miami Heat,New Orleans Pelicans,0.78556,0.6474,26,2015-11-29,2,0.667,1.0,5,1,0.235,-2.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,1,Friday,2015-12-25
