,0
532,2760069
533,2759314
534,2759322
535,2759319
536,2759990
537,2760019
538,2759507
539,2759509
540,2759301
541,2759323
542,2759307
543,2759305
544,2759318
545,2759571
546,2759838
547,2759321
548,2759330
549,2759744
550,2759820
551,2759284
552,2759394
553,2759278
554,2759265
555,2759489
556,2759349
557,2759343
558,2759268
559,2759270
560,2759963
561,2759282
562,2759273
563,2760128
564,2759291
565,2759283
566,2759266
567,2759294
568,2759269
569,2760059
570,2760050
571,2759561
572,2759562
573,2759272
574,2759277
575,2759274
576,2759281
577,2759275
578,2759262
579,2759261
580,2759286
581,2759761
582,2759816
583,2759819
584,2759193
585,2759196
586,2759380
587,2759248
588,2759242
589,2759440
590,2759450
591,2759650
592,2759185
593,2759490
594,2759345
595,2759195
596,2759974
597,2760129
598,2759194
599,2759191
600,2759179
601,2760040
602,2759559
603,2759188
604,2759189
605,2759180
606,2759182
607,2759618
608,2759187
609,2759883
610,2759874
611,2759197
612,2759183
613,2759186
614,2759693
615,2759763
616,2759355
617,2759215
618,2759629
619,2758932
620,2759451
621,2759329
622,2759332
623,2759254
624,2759020
625,2759021
626,2759921
627,2760084
628,2758916
629,2758915
630,2759004
631,2760003
632,2759511
633,2759139
634,2758926
635,2759038
636,2758940
637,2759570
638,2758972
639,2759837
640,2759105
641,2758954
642,2759694
643,2759762
644,2759354
645,2759216
646,2759632
647,2758931
648,2759455
649,2759328
650,2759259
651,2759016
652,2759018
653,2759074
654,2759075
655,2760101
656,2760071
657,2758917
658,2758914
659,2758999
660,2759000
661,2759987
662,2760007
663,2759514
664,2759140
665,2759137
666,2758923
667,2758924
668,2759039
669,2758941
670,2759567
671,2758971
672,2759836
673,2759103
674,2759100
675,2758955
676,2759953
677,2759951
678,2759926
679,2759933
680,2759919
681,2759914
682,2759909
683,2759918
684,2759915
685,2759937
686,2759949
687,2759911
688,2759941
689,2759922
690,2759952
691,2759948
692,2760073
693,2760087
694,2759927
695,2759944
696,2760032
697,2760006
698,2759913
699,2759923
700,2759935
701,2759947
702,2759930
703,2759936
704,2759954
705,2759942
706,2759946
707,2759916
708,2760092
709,2760077
710,2760099
711,2760081
712,2760088
713,2760090
714,2760114
715,2760109
716,2760072
717,2760063
718,2760104
719,2760085
720,2760111
721,2760094
722,2760079
723,2760076
724,2760112
725,2760100
726,2760068
727,2760113
728,2760062
729,2760070
730,2760075
731,2760086
732,2760106
733,2760096
734,2760078
735,2760064
736,2760091
737,2760089
738,2760066
739,2759754
740,2759778
741,2759818
742,2758957
743,2759389
744,2759397
745,2759252
746,2759443
747,2759203
748,2759200
749,2759636
750,2759643
751,2758959
752,2758958
753,2759493
754,2759338
755,2759976
756,2760120
757,2758963
758,2758962
759,2759010
760,2759566
761,2759165
762,2758965
763,2758960
764,2759623
765,2758990
766,2758983
767,2759865
768,2759112
769,2759828
770,2759779
771,2759716
772,2759699
773,2759711
774,2759715
775,2759717
776,2759721
777,2759713
778,2759698
779,2759708
780,2759706
781,2759710
782,2759702
783,2759726
784,2759718
785,2759970
786,2759701
787,2760121
788,2759723
789,2759730
790,2759707
791,2760060
792,2759727
793,2759722
794,2759724
795,2759705
796,2759725
797,2759714
798,2759870
799,2759703
800,2759993
801,2760014
802,2760008
803,2760000
804,2760033
805,2759992
806,2760025
807,2760022
808,2760001
809,2760026
810,2760027
811,2759999
812,2760018
813,2760013
814,2760016
815,2760065
816,2760002
817,2760012
818,2759988
819,2759995
820,2759984
821,2759998
822,2760009
823,2760004
824,2759986
825,2760021
826,2759997
827,2759985
828,2760005
829,2759168
830,2759386
831,2759218
832,2759449
833,2759202
834,2759690
835,2759496
836,2759293
837,2759289
838,2759147
839,2759959
840,2759144
841,2759148
842,2760130
843,2759160
844,2759135
845,2759155
846,2759134
847,2759158
848,2760053
849,2760052
850,2759552
851,2759167
852,2759146
853,2759161
854,2759843
855,2759145
856,2759156
857,2759166
858,2759396
859,2759246
860,2759209
861,2759665
862,2759022
863,2759492
864,2759340
865,2759297
866,2759298
867,2759971
868,2759973
869,2759096
