,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Bulls,10,217165,21716,103.8,9,17181,88.3,19,19568,96.7
1,2,Cavaliers,11,226182,20562,100.0,10,19188,98.1,21,19907,99.1
2,3,Mavericks,9,180830,20092,104.6,14,17641,93.6,23,18600,98.0
3,4,Raptors,10,199063,19906,100.5,13,17450,91.2,23,18518,95.3
4,5,NY Knicks,12,237744,19812,100.0,11,18721,97.3,23,19290,98.7
5,6,Heat,14,274999,19642,100.2,6,16934,85.3,20,18830,95.7
6,7,Warriors,10,195960,19596,100.0,13,18376,98.8,23,18906,99.4
7,8,Jazz,9,175174,19463,97.8,11,16979,87.7,20,18097,92.3
8,9,Trail Blazers,10,192882,19288,92.7,13,17153,90.1,23,18081,91.3
9,10,Clippers,14,267955,19139,100.4,8,16550,86.8,22,18198,95.5
10,11,Lakers,7,132979,18997,99.7,15,19328,99.2,22,19222,99.3
11,12,Spurs,11,202598,18418,99.1,12,18074,94.1,23,18238,96.5
12,13,Thunder,12,218436,18203,100.0,9,18805,98.1,21,18461,99.2
13,14,Celtics,11,195777,17797,95.6,11,16680,91.1,22,17239,93.3
14,15,Wizards,11,194602,17691,87.2,9,17901,92.1,20,17785,89.4
15,16,Rockets,13,229171,17628,97.7,10,17394,90.3,23,17526,94.3
16,17,Magic,10,173349,17334,92.0,12,16919,87.7,22,17108,89.6
17,18,Suns,11,190671,17333,94.1,12,16976,87.7,23,17147,90.7
18,19,Kings,13,224656,17281,99.8,10,16766,89.0,23,17057,94.9
19,20,Grizzlies,12,203832,16986,93.7,11,17369,90.9,23,17169,92.4
20,21,Pelicans,10,169681,16968,98.7,11,18691,97.2,21,17870,97.9
21,22,Hornets,13,214724,16517,86.6,8,19106,97.3,21,17503,90.7
22,23,Pacers,9,146881,16320,89.8,11,17868,88.8,20,17171,89.2
23,24,Pistons,11,176650,16059,72.7,12,16874,89.4,23,16484,80.8
24,25,Hawks,12,191705,15975,85.3,11,17759,93.8,23,16828,89.4
25,26,76ers,10,149007,14900,73.3,12,17271,91.2,22,16193,82.7
26,27,Nets,9,131808,14645,80.9,12,17463,93.0,21,16255,87.9
27,28,Bucks,12,172241,14353,76.7,11,16427,84.3,23,15345,80.4
28,29,Timberwolves,12,169191,14099,72.8,9,17720,93.3,21,15651,81.5
29,30,Nuggets,10,136491,13649,71.3,12,17790,93.6,22,15908,83.4
