,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,376.0,72.0,20.0,20.0,304.0,2015-12-02T19:30:00,2015-06-27T00:00:00,7424 118 Ave NW,Edmonton,Canada,"Edmonton, Canada",163,Rexall Place,T5B 4M9,0.74967,AB,2015-06-27T00:00:00,Bruins at Oilers,2015-12-03T02:30:00,0.74316,False,2015-12-03T06:30:00,2667010,Edmonton Oilers,Boston Bruins,0.65587,0.77836,2015-12-03,02:30:00,2
1,1,368.0,146.0,42.0,42.0,628.0,2015-12-04T19:00:00,2015-06-27T00:00:00,555 Saddledome Rise SE,Calgary,Canada,"Calgary, Canada",96,Scotiabank Saddledome,T2G 2W1,0.74926,AB,2015-06-27T00:00:00,Bruins at Flames,2015-12-05T02:00:00,0.73448,False,2015-12-05T06:00:00,2666282,Calgary Flames,Boston Bruins,0.65693,0.77836,2015-12-05,02:00:00,4
2,2,574.0,165.0,65.0,65.0,523.0,2015-12-05T19:00:00,2015-06-27T00:00:00,800 Griffiths Way,Vancouver,Canada,"Vancouver, Canada",2983,Rogers Arena,V6B 6G1,0.76455,BC,2015-06-27T00:00:00,Bruins at Canucks,2015-12-06T03:00:00,0.75332,False,2015-12-06T07:00:00,2666745,Vancouver Canucks,Boston Bruins,0.67661,0.77836,2015-12-06,03:00:00,5
3,3,1823.0,86.0,44.0,44.0,814.0,2015-12-07T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Predators at Bruins,2015-12-08T00:00:00,0.79422,False,2015-12-08T04:00:00,2666942,Boston Bruins,Nashville Predators,0.77836,0.65435,2015-12-08,00:00:00,7
4,4,670.0,208.0,86.0,86.0,713.0,2015-12-09T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76026,QC,2015-06-27T00:00:00,Bruins at Canadiens,2015-12-10T00:30:00,0.77213,False,2015-12-10T04:30:00,2667226,Montreal Canadiens,Boston Bruins,0.70086,0.77836,2015-12-10,00:30:00,9
5,5,1734.0,163.0,89.0,89.0,1144.0,2015-12-12T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Panthers at Bruins,2015-12-12T18:00:00,0.80944,False,2015-12-12T22:00:00,2666939,Boston Bruins,Florida Panthers,0.77836,0.655,2015-12-12,18:00:00,11
6,6,2583.0,98.0,47.0,47.0,1169.0,2015-12-14T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Oilers at Bruins,2015-12-15T00:00:00,0.80869,False,2015-12-15T04:00:00,2666926,Boston Bruins,Edmonton Oilers,0.77836,0.65587,2015-12-15,00:00:00,14
7,7,2389.0,146.0,66.0,66.0,1144.0,2015-12-16T20:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Penguins at Bruins,2015-12-17T01:00:00,0.82236,False,2015-12-17T05:00:00,2666935,Boston Bruins,Pittsburgh Penguins,0.77836,0.70083,2015-12-17,01:00:00,16
8,8,832.0,167.0,75.0,75.0,745.0,2015-12-18T19:00:00,2015-06-27T00:00:00,1001 5th Ave,Pittsburgh,US,"Pittsburgh, PA 15219",2265,Consol Energy Center,15219,0.77551,PA,2015-06-27T00:00:00,Bruins at Penguins,2015-12-19T00:00:00,0.76602,False,2015-12-19T04:00:00,2666219,Pittsburgh Penguins,Boston Bruins,0.70083,0.77836,2015-12-19,00:00:00,18
9,9,2364.0,157.5,72.0,72.0,1343.0,2015-12-20T17:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Devils at Bruins,2015-12-20T22:00:00,0.81286,False,2015-12-21T02:00:00,2666925,Boston Bruins,New Jersey Devils,0.77836,0.71206,2015-12-20,22:00:00,19
10,10,2363.0,149.0,65.0,65.0,1144.0,2015-12-22T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Blues at Bruins,2015-12-23T00:00:00,0.8118,False,2015-12-23T04:00:00,2666943,Boston Bruins,St. Louis Blues,0.77836,0.7112,2015-12-23,00:00:00,22
11,11,2238.0,234.0,115.0,115.0,10453.0,2015-12-26T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Sabres at Bruins,2015-12-27T00:00:00,0.82651,False,2015-12-27T04:00:00,2666922,Boston Bruins,Buffalo Sabres,0.77836,0.71339,2015-12-27,00:00:00,26
12,12,453.0,142.0,58.0,58.0,910.0,2015-12-27T17:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72568,ON,2015-06-27T00:00:00,Bruins at Senators,2015-12-27T22:00:00,0.73309,False,2015-12-28T02:00:00,2666686,Ottawa Senators,Boston Bruins,0.65117,0.77836,2015-12-27,22:00:00,26
13,13,2284.0,179.0,93.0,93.0,1145.0,2015-12-29T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Senators at Bruins,2015-12-30T00:00:00,0.81905,False,2015-12-30T04:00:00,2666932,Boston Bruins,Ottawa Senators,0.77836,0.65117,2015-12-30,00:00:00,29
14,16,2575.0,157.0,81.0,81.0,924.0,2016-01-05T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Capitals at Bruins,2016-01-06T00:00:00,0.81988,False,2016-01-06T04:00:00,2666917,Boston Bruins,Washington Capitals,0.77836,0.73417,2016-01-06,00:00:00,36
