,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,80.0,58.5,33.0,33.0,291.0,2015-11-25T19:30:00,2015-06-27T00:00:00,600 Civic Center Dr,Detroit,US,"Detroit, MI 48226",1242,Joe Louis Arena,48226,0.81454,MI,2015-06-27T00:00:00,Bruins at Red Wings,2015-11-26T00:30:00,0.77279,False,2015-11-26T04:30:00,2667177,Detroit Red Wings,Boston Bruins,0.73162,0.77818,2015-11-26,00:30:00,1
1,1,262.0,213.0,131.0,120.0,886.0,2015-11-27T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85468,MA,2015-06-27T00:00:00,Rangers at Bruins,2015-11-27T18:00:00,0.80631,False,2015-11-27T22:00:00,2666914,Boston Bruins,New York Rangers,0.77818,0.7979,2015-11-27,18:00:00,2
2,2,610.0,92.0,28.0,28.0,606.0,2015-12-02T19:30:00,2015-06-27T00:00:00,7424 118 Ave NW,Edmonton,Canada,"Edmonton, Canada",163,Rexall Place,T5B 4M9,0.74959,AB,2015-06-27T00:00:00,Bruins at Oilers,2015-12-03T02:30:00,0.75374,False,2015-12-03T06:30:00,2667010,Edmonton Oilers,Boston Bruins,0.65587,0.77818,2015-12-03,02:30:00,8
3,3,566.0,152.0,32.0,32.0,652.0,2015-12-04T19:00:00,2015-06-27T00:00:00,555 Saddledome Rise SE,Calgary,Canada,"Calgary, Canada",96,Scotiabank Saddledome,T2G 2W1,0.74911,AB,2015-06-27T00:00:00,Bruins at Flames,2015-12-05T02:00:00,0.74268,False,2015-12-05T06:00:00,2666282,Calgary Flames,Boston Bruins,0.65693,0.77818,2015-12-05,02:00:00,10
4,4,752.0,176.0,67.0,67.0,773.0,2015-12-05T19:00:00,2015-06-27T00:00:00,800 Griffiths Way,Vancouver,Canada,"Vancouver, Canada",2983,Rogers Arena,V6B 6G1,0.76455,BC,2015-06-27T00:00:00,Bruins at Canucks,2015-12-06T03:00:00,0.75673,False,2015-12-06T07:00:00,2666745,Vancouver Canucks,Boston Bruins,0.67661,0.77818,2015-12-06,03:00:00,11
5,5,2343.0,92.0,43.0,43.0,919.0,2015-12-07T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85468,MA,2015-06-27T00:00:00,Predators at Bruins,2015-12-08T00:00:00,0.79983,False,2015-12-08T04:00:00,2666942,Boston Bruins,Nashville Predators,0.77818,0.65429,2015-12-08,00:00:00,13
6,6,753.0,221.5,86.0,86.0,899.0,2015-12-09T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76007,QC,2015-06-27T00:00:00,Bruins at Canadiens,2015-12-10T00:30:00,0.77448,False,2015-12-10T04:30:00,2667226,Montreal Canadiens,Boston Bruins,0.70075,0.77818,2015-12-10,00:30:00,15
7,7,1975.0,162.0,86.0,86.0,1144.0,2015-12-12T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85468,MA,2015-06-27T00:00:00,Panthers at Bruins,2015-12-12T18:00:00,0.81222,False,2015-12-12T22:00:00,2666939,Boston Bruins,Florida Panthers,0.77818,0.65476,2015-12-12,18:00:00,17
8,8,2722.0,101.0,46.0,46.0,890.0,2015-12-14T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85468,MA,2015-06-27T00:00:00,Oilers at Bruins,2015-12-15T00:00:00,0.8107,False,2015-12-15T04:00:00,2666926,Boston Bruins,Edmonton Oilers,0.77818,0.65587,2015-12-15,00:00:00,20
9,9,2486.0,140.0,67.0,67.0,1144.0,2015-12-16T20:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85468,MA,2015-06-27T00:00:00,Penguins at Bruins,2015-12-17T01:00:00,0.8236,False,2015-12-17T05:00:00,2666935,Boston Bruins,Pittsburgh Penguins,0.77818,0.70073,2015-12-17,01:00:00,22
