,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,1880.0,56.0,16.0,16.0,1124.0,2015-11-29T12:00:00,2015-04-22T00:00:00,1 Arrowhead Drive,Kansas City,US,"Kansas City, MO 64129",1128,Arrowhead Stadium,64129,0.89481,MO,2015-04-22T00:00:00,Bills at Chiefs,2015-11-29T18:00:00,0.81602,False,2015-11-29T22:00:00,2594346,Kansas City Chiefs,Buffalo Bills,0.79483,0.79211,2015-11-29,18:00:00,2
1,1,4484.0,77.0,29.0,29.0,5775.0,2015-12-06T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Texans at Bills,2015-12-06T18:00:00,0.84012,False,2015-12-06T22:00:00,2594531,Buffalo Bills,Houston Texans,0.79211,0.8134,2015-12-06,18:00:00,9
2,2,3419.0,165.0,73.0,73.0,670.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1020 Pattison Avenue,Philadelphia,US,"Philadelphia, PA 19148",330,Lincoln Financial Field,19148,0.91513,PA,2015-04-22T00:00:00,Bills at Eagles,2015-12-13T18:00:00,0.87204,False,2015-12-13T22:00:00,2594419,Philadelphia Eagles,Buffalo Bills,0.82966,0.79211,2015-12-13,18:00:00,16
3,3,8977.0,180.0,26.0,26.0,1063.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1600 Fedex Way,Landover,US,"Landover, MD 20785",35,FedEx Field,20785,0.95056,MD,2015-04-22T00:00:00,Bills at Redskins,2015-12-20T18:00:00,0.8918,False,2015-12-20T22:00:00,2594356,Washington Redskins,Buffalo Bills,0.84241,0.79211,2015-12-20,18:00:00,23
4,4,3515.0,178.0,95.0,95.0,5775.0,2015-12-27T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Cowboys at Bills,2015-12-27T18:00:00,0.87293,False,2015-12-27T22:00:00,2594529,Buffalo Bills,Dallas Cowboys,0.79211,0.88218,2015-12-27,18:00:00,30
5,5,5002.0,87.0,32.0,32.0,5775.0,2016-01-03T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Jets at Bills,2016-01-03T18:00:00,0.84867,False,2016-01-03T22:00:00,2594532,Buffalo Bills,New York Jets,0.79211,0.84751,2016-01-03,18:00:00,37
6,6,1717.0,92.0,38.0,38.0,860.0,2015-11-29T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96016,NJ,2015-04-22T00:00:00,Dolphins at Jets,2015-11-29T18:00:00,0.86911,False,2015-11-29T22:00:00,2594509,New York Jets,Miami Dolphins,0.84751,0.80367,2015-11-29,18:00:00,2
7,7,1597.0,185.0,62.0,62.0,1841.0,2015-12-06T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Ravens at Dolphins,2015-12-06T18:00:00,0.82774,False,2015-12-06T22:00:00,2594468,Miami Dolphins,Baltimore Ravens,0.80367,0.79878,2015-12-06,18:00:00,9
8,8,1402.0,407.0,146.0,146.0,1391.0,2015-12-14T20:30:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Giants at Dolphins,2015-12-15T01:30:00,0.85223,False,2015-12-15T05:30:00,2594469,Miami Dolphins,New York Giants,0.80367,0.85936,2015-12-15,01:30:00,18
9,9,4668.0,153.0,47.0,47.0,1213.0,2015-12-20T13:25:00,2015-04-22T00:00:00,9449 Friars Road,San Diego,US,"San Diego, CA 92108",1134,Qualcomm Stadium,92108,0.90643,CA,2015-04-22T00:00:00,Dolphins at Chargers,2015-12-20T21:25:00,0.86984,False,2015-12-21T01:25:00,2594374,San Diego Chargers,Miami Dolphins,0.83726,0.80367,2015-12-20,21:25:00,23
10,10,1923.0,220.0,68.0,68.0,1630.0,2015-12-27T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Colts at Dolphins,2015-12-27T18:00:00,0.83236,False,2015-12-27T22:00:00,2594326,Miami Dolphins,Indianapolis Colts,0.80367,0.7948,2015-12-27,18:00:00,30
11,11,818.0,449.0,209.0,209.0,2315.0,2016-01-03T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Patriots at Dolphins,2016-01-03T18:00:00,0.83735,False,2016-01-03T22:00:00,2594472,Miami Dolphins,New England Patriots,0.80367,0.84576,2016-01-03,18:00:00,37
12,14,483.0,247.0,125.0,125.0,915.0,2015-11-29T18:30:00,2015-04-22T00:00:00,1701 Bryant St.,Denver,US,"Denver, CO 80204",1131,Sports Authority Field at Mile High,80204,0.91152,CO,2015-04-22T00:00:00,Patriots at Broncos,2015-11-30T01:30:00,0.854,False,2015-11-30T05:30:00,2594496,Denver Broncos,New England Patriots,0.82325,0.84576,2015-11-30,01:30:00,3
13,16,651.0,553.0,302.0,302.0,5702.0,2015-12-06T16:25:00,2015-04-22T00:00:00,1 Patriot Place,Foxborough,US,"Foxborough, MA 02035",33,Gillette Stadium,02035,0.90237,MA,2015-04-22T00:00:00,Eagles at Patriots,2015-12-06T21:25:00,0.85663,False,2015-12-07T01:25:00,2594477,New England Patriots,Philadelphia Eagles,0.84576,0.82966,2015-12-06,21:25:00,9
14,20,1955.0,387.0,204.0,204.0,2155.0,2015-12-13T12:00:00,2015-04-22T00:00:00,1 Reliant Park,Houston,US,"Houston, TX 77054",41,NRG Stadium,77054,0.8433,TX,2015-04-22T00:00:00,Patriots at Texans,2015-12-13T18:00:00,0.8691,False,2015-12-13T22:00:00,2594441,Houston Texans,New England Patriots,0.8134,0.84576,2015-12-13,18:00:00,16
15,25,662.0,489.0,274.0,260.0,5742.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1 Patriot Place,Foxborough,US,"Foxborough, MA 02035",33,Gillette Stadium,02035,0.90237,MA,2015-04-22T00:00:00,Titans at Patriots,2015-12-20T18:00:00,0.84413,False,2015-12-20T22:00:00,2594478,New England Patriots,Tennessee Titans,0.84576,0.76115,2015-12-20,18:00:00,23
16,26,5837.0,246.0,111.0,111.0,5742.0,2015-12-27T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96016,NJ,2015-04-22T00:00:00,Patriots at Jets,2015-12-27T18:00:00,0.90159,False,2015-12-27T22:00:00,2594290,New York Jets,New England Patriots,0.84751,0.84576,2015-12-27,18:00:00,30
