,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,253.0,140.0,42.0,42.0,628.0,2015-12-04T19:00:00,2015-06-27T00:00:00,555 Saddledome Rise SE,Calgary,Canada,"Calgary, Canada",96,Scotiabank Saddledome,T2G 2W1,0.74918,AB,2015-06-27T00:00:00,Bruins at Flames,2015-12-05T02:00:00,0.72927,False,2015-12-05T06:00:00,2666282,Calgary Flames,Boston Bruins,0.6568,0.77836,2015-12-05,02:00:00,2
1,1,446.0,152.5,66.0,66.0,495.0,2015-12-05T19:00:00,2015-06-27T00:00:00,800 Griffiths Way,Vancouver,Canada,"Vancouver, Canada",2983,Rogers Arena,V6B 6G1,0.76473,BC,2015-06-27T00:00:00,Bruins at Canucks,2015-12-06T03:00:00,0.74808,False,2015-12-06T07:00:00,2666745,Vancouver Canucks,Boston Bruins,0.67661,0.77836,2015-12-06,03:00:00,3
2,2,1494.0,83.5,42.0,42.0,1156.0,2015-12-07T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Predators at Bruins,2015-12-08T00:00:00,0.79108,False,2015-12-08T04:00:00,2666942,Boston Bruins,Nashville Predators,0.77836,0.65418,2015-12-08,00:00:00,5
3,3,544.0,196.0,70.0,70.0,713.0,2015-12-09T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76023,QC,2015-06-27T00:00:00,Bruins at Canadiens,2015-12-10T00:30:00,0.76409,False,2015-12-10T04:30:00,2667226,Montreal Canadiens,Boston Bruins,0.70072,0.77836,2015-12-10,00:30:00,7
4,4,1635.0,159.0,88.0,88.0,1071.0,2015-12-12T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Panthers at Bruins,2015-12-12T18:00:00,0.80634,False,2015-12-12T22:00:00,2666939,Boston Bruins,Florida Panthers,0.77836,0.655,2015-12-12,18:00:00,9
5,5,2514.0,94.0,39.0,39.0,814.0,2015-12-14T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Oilers at Bruins,2015-12-15T00:00:00,0.80692,False,2015-12-15T04:00:00,2666926,Boston Bruins,Edmonton Oilers,0.77836,0.6559,2015-12-15,00:00:00,12
6,6,2294.0,146.0,68.0,68.0,1071.0,2015-12-16T20:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Penguins at Bruins,2015-12-17T01:00:00,0.8216,False,2015-12-17T05:00:00,2666935,Boston Bruins,Pittsburgh Penguins,0.77836,0.70083,2015-12-17,01:00:00,14
7,7,812.0,168.0,80.0,80.0,823.0,2015-12-18T19:00:00,2015-06-27T00:00:00,1001 5th Ave,Pittsburgh,US,"Pittsburgh, PA 15219",2265,Consol Energy Center,15219,0.77554,PA,2015-06-27T00:00:00,Bruins at Penguins,2015-12-19T00:00:00,0.76962,False,2015-12-19T04:00:00,2666219,Pittsburgh Penguins,Boston Bruins,0.70083,0.77836,2015-12-19,00:00:00,16
8,8,2246.0,157.0,72.0,72.0,924.0,2015-12-20T17:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Devils at Bruins,2015-12-20T22:00:00,0.81238,False,2015-12-21T02:00:00,2666925,Boston Bruins,New Jersey Devils,0.77836,0.7119,2015-12-20,22:00:00,17
9,9,2264.0,151.0,65.0,65.0,673.0,2015-12-22T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Blues at Bruins,2015-12-23T00:00:00,0.80422,False,2015-12-23T04:00:00,2666943,Boston Bruins,St. Louis Blues,0.77836,0.71106,2015-12-23,00:00:00,20
10,10,2086.0,236.0,115.0,115.0,10453.0,2015-12-26T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Sabres at Bruins,2015-12-27T00:00:00,0.8252,False,2015-12-27T04:00:00,2666922,Boston Bruins,Buffalo Sabres,0.77836,0.71339,2015-12-27,00:00:00,24
11,11,436.0,158.5,60.0,60.0,881.0,2015-12-27T17:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72559,ON,2015-06-27T00:00:00,Bruins at Senators,2015-12-27T22:00:00,0.73116,False,2015-12-28T02:00:00,2666686,Ottawa Senators,Boston Bruins,0.65103,0.77836,2015-12-27,22:00:00,24
12,12,2129.0,183.0,93.0,93.0,2095.0,2015-12-29T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Senators at Bruins,2015-12-30T00:00:00,0.81773,False,2015-12-30T04:00:00,2666932,Boston Bruins,Ottawa Senators,0.77836,0.65103,2015-12-30,00:00:00,27
13,15,2504.0,161.0,81.0,81.0,924.0,2016-01-05T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85475,MA,2015-06-27T00:00:00,Capitals at Bruins,2016-01-06T00:00:00,0.82113,False,2016-01-06T04:00:00,2666917,Boston Bruins,Washington Capitals,0.77836,0.73417,2016-01-06,00:00:00,34
14,16,947.0,100.0,37.0,37.0,629.0,2016-01-08T19:00:00,2015-06-27T00:00:00,165 Mulberry Street,Newark,US,"Newark, NJ 07102",1500,Prudential Center,07102,0.78771,NJ,2015-06-27T00:00:00,Bruins at Devils,2016-01-09T00:00:00,0.76113,False,2016-01-09T04:00:00,2666446,New Jersey Devils,Boston Bruins,0.7119,0.77836,2016-01-09,00:00:00,37
15,17,437.0,125.0,42.0,42.0,773.0,2016-01-09T19:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72559,ON,2015-06-27T00:00:00,Bruins at Senators,2016-01-10T00:00:00,0.73071,False,2016-01-10T04:00:00,2666674,Ottawa Senators,Boston Bruins,0.65103,0.77836,2016-01-10,00:00:00,38
16,18,2244.0,231.0,118.0,118.0,2067.0,2016-01-11T19:00:00,2015-06-27T00:00:00,4 Pennsylvania Plaza,New York,US,"New York, NY 10001",93,Madison Square Garden,10001,0.89802,NY,2015-06-27T00:00:00,Bruins at Rangers,2016-01-12T00:00:00,0.84343,False,2016-01-12T04:00:00,2666369,New York Rangers,Boston Bruins,0.79804,0.77836,2016-01-12,00:00:00,40
