,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,159.0,251.5,139.0,139.0,703.0,2015-11-27T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Rangers at Bruins,2015-11-27T18:00:00,0.79923,False,2015-11-27T22:00:00,2666914,Boston Bruins,New York Rangers,0.77818,0.79793,2015-11-27,18:00:00,1
1,1,603.0,90.0,28.0,28.0,606.0,2015-12-02T19:30:00,2015-06-27T00:00:00,7424 118 Ave NW,Edmonton,Canada,"Edmonton, Canada",163,Rexall Place,T5B 4M9,0.74959,AB,2015-06-27T00:00:00,Bruins at Oilers,2015-12-03T02:30:00,0.75233,False,2015-12-03T06:30:00,2667010,Edmonton Oilers,Boston Bruins,0.65587,0.77818,2015-12-03,02:30:00,7
2,2,532.0,162.0,32.0,32.0,634.0,2015-12-04T19:00:00,2015-06-27T00:00:00,555 Saddledome Rise SE,Calgary,Canada,"Calgary, Canada",96,Scotiabank Saddledome,T2G 2W1,0.74912,AB,2015-06-27T00:00:00,Bruins at Flames,2015-12-05T02:00:00,0.74101,False,2015-12-05T06:00:00,2666282,Calgary Flames,Boston Bruins,0.65693,0.77818,2015-12-05,02:00:00,9
3,3,744.0,173.5,67.0,67.0,773.0,2015-12-05T19:00:00,2015-06-27T00:00:00,800 Griffiths Way,Vancouver,Canada,"Vancouver, Canada",2983,Rogers Arena,V6B 6G1,0.76455,BC,2015-06-27T00:00:00,Bruins at Canucks,2015-12-06T03:00:00,0.75653,False,2015-12-06T07:00:00,2666745,Vancouver Canucks,Boston Bruins,0.67661,0.77818,2015-12-06,03:00:00,10
4,4,2312.0,91.0,44.0,44.0,919.0,2015-12-07T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85463,MA,2015-06-27T00:00:00,Predators at Bruins,2015-12-08T00:00:00,0.79943,False,2015-12-08T04:00:00,2666942,Boston Bruins,Nashville Predators,0.77818,0.65429,2015-12-08,00:00:00,12
5,5,691.0,215.5,85.0,85.0,808.0,2015-12-09T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76007,QC,2015-06-27T00:00:00,Bruins at Canadiens,2015-12-10T00:30:00,0.77162,False,2015-12-10T04:30:00,2667226,Montreal Canadiens,Boston Bruins,0.70075,0.77818,2015-12-10,00:30:00,14
6,6,1985.0,162.0,86.0,86.0,1144.0,2015-12-12T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Panthers at Bruins,2015-12-12T18:00:00,0.81072,False,2015-12-12T22:00:00,2666939,Boston Bruins,Florida Panthers,0.77818,0.65476,2015-12-12,18:00:00,16
7,7,2722.0,100.0,46.0,46.0,890.0,2015-12-14T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85463,MA,2015-06-27T00:00:00,Oilers at Bruins,2015-12-15T00:00:00,0.81092,False,2015-12-15T04:00:00,2666926,Boston Bruins,Edmonton Oilers,0.77818,0.65587,2015-12-15,00:00:00,19
8,8,2401.0,139.0,67.0,67.0,1144.0,2015-12-16T20:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Penguins at Bruins,2015-12-17T01:00:00,0.82236,False,2015-12-17T05:00:00,2666935,Boston Bruins,Pittsburgh Penguins,0.77818,0.70066,2015-12-17,01:00:00,21
9,9,851.0,170.0,78.0,78.0,5880.0,2015-12-18T19:00:00,2015-06-27T00:00:00,1001 5th Ave,Pittsburgh,US,"Pittsburgh, PA 15219",2265,Consol Energy Center,15219,0.77532,PA,2015-06-27T00:00:00,Bruins at Penguins,2015-12-19T00:00:00,0.76634,False,2015-12-19T04:00:00,2666219,Pittsburgh Penguins,Boston Bruins,0.70066,0.77818,2015-12-19,00:00:00,23
10,10,2364.0,157.0,73.0,73.0,924.0,2015-12-20T17:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Devils at Bruins,2015-12-20T22:00:00,0.81184,False,2015-12-21T02:00:00,2666925,Boston Bruins,New Jersey Devils,0.77818,0.71196,2015-12-20,22:00:00,24
11,11,2386.0,146.0,67.0,67.0,1144.0,2015-12-22T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Blues at Bruins,2015-12-23T00:00:00,0.81092,False,2015-12-23T04:00:00,2666943,Boston Bruins,St. Louis Blues,0.77818,0.711,2015-12-23,00:00:00,27
12,12,2324.0,230.0,104.0,104.0,10453.0,2015-12-26T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Sabres at Bruins,2015-12-27T00:00:00,0.82651,False,2015-12-27T04:00:00,2666922,Boston Bruins,Buffalo Sabres,0.77818,0.71321,2015-12-27,00:00:00,31
13,13,488.0,143.0,58.0,58.0,910.0,2015-12-27T17:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72568,ON,2015-06-27T00:00:00,Bruins at Senators,2015-12-27T22:00:00,0.73606,False,2015-12-28T02:00:00,2666686,Ottawa Senators,Boston Bruins,0.65117,0.77818,2015-12-27,22:00:00,31
14,14,2350.0,174.5,91.0,91.0,1145.0,2015-12-29T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Senators at Bruins,2015-12-30T00:00:00,0.81824,False,2015-12-30T04:00:00,2666932,Boston Bruins,Ottawa Senators,0.77818,0.65117,2015-12-30,00:00:00,34
15,17,2648.0,152.0,77.0,77.0,924.0,2016-01-05T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Capitals at Bruins,2016-01-06T00:00:00,0.82058,False,2016-01-06T04:00:00,2666917,Boston Bruins,Washington Capitals,0.77818,0.73391,2016-01-06,00:00:00,41
16,18,1178.0,94.0,37.0,37.0,1261.0,2016-01-08T19:00:00,2015-06-27T00:00:00,165 Mulberry Street,Newark,US,"Newark, NJ 07102",1500,Prudential Center,07102,0.78777,NJ,2015-06-27T00:00:00,Bruins at Devils,2016-01-09T00:00:00,0.7668,False,2016-01-09T04:00:00,2666446,New Jersey Devils,Boston Bruins,0.71196,0.77818,2016-01-09,00:00:00,44
17,19,446.0,127.0,47.0,47.0,773.0,2016-01-09T19:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72568,ON,2015-06-27T00:00:00,Bruins at Senators,2016-01-10T00:00:00,0.73309,False,2016-01-10T04:00:00,2666674,Ottawa Senators,Boston Bruins,0.65117,0.77818,2016-01-10,00:00:00,45
18,20,2414.0,223.0,122.0,118.0,2067.0,2016-01-11T19:00:00,2015-06-27T00:00:00,4 Pennsylvania Plaza,New York,US,"New York, NY 10001",93,Madison Square Garden,10001,0.89802,NY,2015-06-27T00:00:00,Bruins at Rangers,2016-01-12T00:00:00,0.84405,False,2016-01-12T04:00:00,2666369,New York Rangers,Boston Bruins,0.79793,0.77818,2016-01-12,00:00:00,47
19,21,2511.0,100.0,36.0,36.0,2171.0,2016-01-13T20:00:00,2015-06-27T00:00:00,3601 S Broad St,Philadelphia,US,"Philadelphia, PA 19148",3148,Wells Fargo Center,19148,0.81638,PA,2015-06-27T00:00:00,Bruins at Flyers,2016-01-14T01:00:00,0.80645,False,2016-01-14T05:00:00,2666911,Philadelphia Flyers,Boston Bruins,0.75227,0.77818,2016-01-14,01:00:00,49
20,22,616.0,139.0,42.0,42.0,573.0,2016-01-15T19:00:00,2015-06-27T00:00:00,1 Seymour H. Knox III Plaza,Buffalo,US,"Buffalo, NY 14203",212,First Niagara Center,14203,0.79642,NY,2015-06-27T00:00:00,Bruins at Sabres,2016-01-16T00:00:00,0.75465,False,2016-01-16T04:00:00,2666329,Buffalo Sabres,Boston Bruins,0.71321,0.77818,2016-01-16,00:00:00,51
21,23,2227.0,206.0,106.0,106.0,1150.0,2016-01-16T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Maple Leafs at Bruins,2016-01-17T00:00:00,0.8244,False,2016-01-17T04:00:00,2666946,Boston Bruins,Toronto Maple Leafs,0.77818,0.71521,2016-01-17,00:00:00,52
22,24,767.0,315.0,118.0,118.0,1161.0,2016-01-19T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76007,QC,2015-06-27T00:00:00,Bruins at Canadiens,2016-01-20T00:30:00,0.77637,False,2016-01-20T04:30:00,2667202,Montreal Canadiens,Boston Bruins,0.70075,0.77818,2016-01-20,00:30:00,55
23,25,2724.0,146.0,68.0,68.0,1160.0,2016-01-21T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Canucks at Bruins,2016-01-22T00:00:00,0.81648,False,2016-01-22T04:00:00,2666945,Boston Bruins,Vancouver Canucks,0.77818,0.67661,2016-01-22,00:00:00,57
24,26,2767.0,185.0,90.0,90.0,1160.0,2016-01-23T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Blue Jackets at Bruins,2016-01-24T00:00:00,0.81817,False,2016-01-24T04:00:00,2666940,Boston Bruins,Columbus Blue Jackets,0.77818,0.62406,2016-01-24,00:00:00,59
25,27,2933.0,97.0,37.0,37.0,1943.0,2016-01-25T19:00:00,2015-06-27T00:00:00,3601 S Broad St,Philadelphia,US,"Philadelphia, PA 19148",3148,Wells Fargo Center,19148,0.81638,PA,2015-06-27T00:00:00,Bruins at Flyers,2016-01-26T00:00:00,0.80722,False,2016-01-26T04:00:00,2666910,Philadelphia Flyers,Boston Bruins,0.75227,0.77818,2016-01-26,00:00:00,61
26,28,2999.0,138.0,60.0,60.0,1160.0,2016-01-26T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Ducks at Bruins,2016-01-27T00:00:00,0.81671,False,2016-01-27T04:00:00,2666915,Boston Bruins,Anaheim Ducks,0.77818,0.68462,2016-01-27,00:00:00,62
27,29,3126.0,141.0,65.0,65.0,1160.0,2016-02-02T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Maple Leafs at Bruins,2016-02-03T00:00:00,0.82691,False,2016-02-03T04:00:00,2666938,Boston Bruins,Toronto Maple Leafs,0.77818,0.71521,2016-02-03,00:00:00,69
28,30,965.0,111.0,31.0,31.0,1187.0,2016-02-04T19:00:00,2015-06-27T00:00:00,1 Seymour H. Knox III Plaza,Buffalo,US,"Buffalo, NY 14203",212,First Niagara Center,14203,0.79642,NY,2015-06-27T00:00:00,Bruins at Sabres,2016-02-05T00:00:00,0.76062,False,2016-02-05T04:00:00,2666330,Buffalo Sabres,Boston Bruins,0.71321,0.77818,2016-02-05,00:00:00,71
29,31,2515.0,187.0,90.0,90.0,1160.0,2016-02-06T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Sabres at Bruins,2016-02-07T00:00:00,0.81984,False,2016-02-07T04:00:00,2666920,Boston Bruins,Buffalo Sabres,0.77818,0.71321,2016-02-07,00:00:00,73
30,32,2581.0,170.0,73.0,73.0,1160.0,2016-02-09T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85462,MA,2015-06-27T00:00:00,Kings at Bruins,2016-02-10T00:00:00,0.8258,False,2016-02-10T04:00:00,2666934,Boston Bruins,Los Angeles Kings,0.77818,0.75507,2016-02-10,00:00:00,76
31,33,8.0,280.5,182.0,182.0,505.0,2016-02-11T19:00:00,2015-06-27T00:00:00,300 Portage Avenue,Winnipeg,Canada,"Winnipeg, Canada",98,MTS Centre,R3C 5S4,0.6819,MB,2015-06-27T00:00:00,Bruins at Jets,2016-02-12T01:00:00,0.69802,False,2016-02-12T05:00:00,2666771,Winnipeg Jets,Boston Bruins,0.60524,0.77818,2016-02-12,01:00:00,78
32,34,847.0,226.0,106.0,106.0,1095.0,2016-02-13T13:00:00,2015-06-27T00:00:00,199 West Kellogg Boulevard,Saint Paul,US,"Saint Paul, MN 55102",123,Xcel Energy Center,55102,0.77792,MN,2015-06-27T00:00:00,Bruins at Wild,2016-02-13T19:00:00,0.76871,False,2016-02-13T23:00:00,2667113,Minnesota Wild,Boston Bruins,0.68835,0.77818,2016-02-13,19:00:00,79
33,35,3366.0,107.0,53.0,53.0,5775.0,2016-02-14T15:00:00,2015-06-27T00:00:00,600 Civic Center Dr,Detroit,US,"Detroit, MI 48226",1242,Joe Louis Arena,48226,0.81467,MI,2015-06-27T00:00:00,Bruins at Red Wings,2016-02-14T20:00:00,0.82229,False,2016-02-15T00:00:00,2667165,Detroit Red Wings,Boston Bruins,0.7317,0.77818,2016-02-14,20:00:00,80
34,36,1230.0,88.0,16.0,16.0,563.0,2016-02-16T19:00:00,2015-06-27T00:00:00,200 West Nationwide Boulevard,Columbus,US,"Columbus, OH 43215",430,Nationwide Arena,43215,0.74436,OH,2015-06-27T00:00:00,Bruins at Blue Jackets,2016-02-17T00:00:00,0.74168,False,2016-02-17T04:00:00,2666574,Columbus Blue Jackets,Boston Bruins,0.62406,0.77818,2016-02-17,00:00:00,83
