,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
60,98,4774.0,93.0,37.0,37.0,1213.0,2016-01-03T13:00:00,2015-04-22T00:00:00,500 South Capitol Ave.,Indianapolis,US,"Indianapolis, IN 46225",1130,Lucas Oil Stadium,46225,0.92002,IN,2015-04-22T00:00:00,Titans at Colts,2016-01-03T18:00:00,0.84172,False,2016-01-03T22:00:00,2594387,Indianapolis Colts,Tennessee Titans,0.7948,0.76115,2016-01-03,18:00:00,36
61,99,738.0,84.0,37.0,37.0,341.0,2015-11-29T13:00:00,2015-04-22T00:00:00,1 Everbank Field,Jacksonville,US,"Jacksonville, FL 32202",5178,EverBank Field,32202,0.84752,FL,2015-04-22T00:00:00,Chargers at Jaguars,2015-11-29T18:00:00,0.79456,False,2015-11-29T22:00:00,2594400,Jacksonville Jaguars,San Diego Chargers,0.7261,0.83726,2015-11-29,18:00:00,1
62,100,2040.0,77.0,23.0,23.0,1269.0,2015-12-06T12:00:00,2015-04-22T00:00:00,1 Titans Way,Nashville,US,"Nashville, TN 37213",1126,Nissan Stadium,37213,0.85438,TN,2015-04-22T00:00:00,Jaguars at Titans,2015-12-06T18:00:00,0.78623,False,2015-12-06T22:00:00,2594323,Tennessee Titans,Jacksonville Jaguars,0.76115,0.7261,2015-12-06,18:00:00,8
63,101,1725.0,104.0,38.0,38.0,511.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 Everbank Field,Jacksonville,US,"Jacksonville, FL 32202",5178,EverBank Field,32202,0.84752,FL,2015-04-22T00:00:00,Colts at Jaguars,2015-12-13T18:00:00,0.79323,False,2015-12-13T22:00:00,2594405,Jacksonville Jaguars,Indianapolis Colts,0.7261,0.7948,2015-12-13,18:00:00,15
64,102,1415.0,116.0,52.0,52.0,543.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1 Everbank Field,Jacksonville,US,"Jacksonville, FL 32202",5178,EverBank Field,32202,0.84752,FL,2015-04-22T00:00:00,Falcons at Jaguars,2015-12-20T18:00:00,0.79105,False,2015-12-20T22:00:00,2594402,Jacksonville Jaguars,Atlanta Falcons,0.7261,0.80905,2015-12-20,18:00:00,22
65,103,3311.0,111.0,50.0,50.0,1623.0,2015-12-27T12:00:00,2015-04-22T00:00:00,1500 Sugar Bowl Drive,New Orleans,US,"New Orleans, LA 70112",128,Mercedes-Benz Superdome,70112,0.90959,LA,2015-04-22T00:00:00,Jaguars at Saints,2015-12-27T18:00:00,0.83682,False,2015-12-27T22:00:00,2594430,New Orleans Saints,Jacksonville Jaguars,0.80042,0.7261,2015-12-27,18:00:00,29
66,104,4276.0,146.0,54.0,54.0,1365.0,2016-01-03T12:00:00,2015-04-22T00:00:00,1 Reliant Park,Houston,US,"Houston, TX 77054",41,NRG Stadium,77054,0.8433,TX,2015-04-22T00:00:00,Jaguars at Texans,2016-01-03T18:00:00,0.85217,False,2016-01-03T22:00:00,2594278,Houston Texans,Jacksonville Jaguars,0.8134,0.7261,2016-01-03,18:00:00,36
67,105,341.0,75.0,37.0,37.0,303.0,2015-11-29T12:00:00,2015-04-22T00:00:00,1 Titans Way,Nashville,US,"Nashville, TN 37213",1126,Nissan Stadium,37213,0.85438,TN,2015-04-22T00:00:00,Raiders at Titans,2015-11-29T18:00:00,0.77873,False,2015-11-29T22:00:00,2594458,Tennessee Titans,Oakland Raiders,0.76115,0.78246,2015-11-29,18:00:00,1
68,107,2040.0,77.0,23.0,23.0,1269.0,2015-12-06T12:00:00,2015-04-22T00:00:00,1 Titans Way,Nashville,US,"Nashville, TN 37213",1126,Nissan Stadium,37213,0.85438,TN,2015-04-22T00:00:00,Jaguars at Titans,2015-12-06T18:00:00,0.78623,False,2015-12-06T22:00:00,2594323,Tennessee Titans,Jacksonville Jaguars,0.76115,0.7261,2015-12-06,18:00:00,8
69,108,7369.0,122.0,32.0,32.0,1046.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96016,NJ,2015-04-22T00:00:00,Titans at Jets,2015-12-13T18:00:00,0.88104,False,2015-12-13T22:00:00,2594507,New York Jets,Tennessee Titans,0.84751,0.76115,2015-12-13,18:00:00,15
