,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,569.0,91.0,28.0,28.0,606.0,2015-12-02T19:30:00,2015-06-27T00:00:00,7424 118 Ave NW,Edmonton,Canada,"Edmonton, Canada",163,Rexall Place,T5B 4M9,0.74959,AB,2015-06-27T00:00:00,Bruins at Oilers,2015-12-03T02:30:00,0.7509,False,2015-12-03T06:30:00,2667010,Edmonton Oilers,Boston Bruins,0.65587,0.77834,2015-12-03,02:30:00,5
1,1,499.0,146.0,32.0,32.0,1246.0,2015-12-04T19:00:00,2015-06-27T00:00:00,555 Saddledome Rise SE,Calgary,Canada,"Calgary, Canada",96,Scotiabank Saddledome,T2G 2W1,0.74912,AB,2015-06-27T00:00:00,Bruins at Flames,2015-12-05T02:00:00,0.73836,False,2015-12-05T06:00:00,2666282,Calgary Flames,Boston Bruins,0.65693,0.77834,2015-12-05,02:00:00,7
2,2,707.0,174.0,69.0,69.0,773.0,2015-12-05T19:00:00,2015-06-27T00:00:00,800 Griffiths Way,Vancouver,Canada,"Vancouver, Canada",2983,Rogers Arena,V6B 6G1,0.76455,BC,2015-06-27T00:00:00,Bruins at Canucks,2015-12-06T03:00:00,0.75613,False,2015-12-06T07:00:00,2666745,Vancouver Canucks,Boston Bruins,0.67661,0.77834,2015-12-06,03:00:00,8
3,3,2209.0,89.0,44.0,44.0,919.0,2015-12-07T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Predators at Bruins,2015-12-08T00:00:00,0.79877,False,2015-12-08T04:00:00,2666942,Boston Bruins,Nashville Predators,0.77834,0.65429,2015-12-08,00:00:00,10
4,4,699.0,221.0,85.0,85.0,899.0,2015-12-09T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76009,QC,2015-06-27T00:00:00,Bruins at Canadiens,2015-12-10T00:30:00,0.77239,False,2015-12-10T04:30:00,2667226,Montreal Canadiens,Boston Bruins,0.70075,0.77834,2015-12-10,00:30:00,12
5,5,1887.0,161.0,87.0,87.0,1144.0,2015-12-12T13:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Panthers at Bruins,2015-12-12T18:00:00,0.81218,False,2015-12-12T22:00:00,2666939,Boston Bruins,Florida Panthers,0.77834,0.65483,2015-12-12,18:00:00,14
6,6,2669.0,100.0,45.0,45.0,890.0,2015-12-14T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Oilers at Bruins,2015-12-15T00:00:00,0.81092,False,2015-12-15T04:00:00,2666926,Boston Bruins,Edmonton Oilers,0.77834,0.65587,2015-12-15,00:00:00,17
7,7,2414.0,138.0,67.0,67.0,1144.0,2015-12-16T20:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Penguins at Bruins,2015-12-17T01:00:00,0.82351,False,2015-12-17T05:00:00,2666935,Boston Bruins,Pittsburgh Penguins,0.77834,0.70069,2015-12-17,01:00:00,19
8,8,852.0,170.5,78.0,78.0,5911.0,2015-12-18T19:00:00,2015-06-27T00:00:00,1001 5th Ave,Pittsburgh,US,"Pittsburgh, PA 15219",2265,Consol Energy Center,15219,0.77534,PA,2015-06-27T00:00:00,Bruins at Penguins,2015-12-19T00:00:00,0.76629,False,2015-12-19T04:00:00,2666219,Pittsburgh Penguins,Boston Bruins,0.70069,0.77834,2015-12-19,00:00:00,21
9,9,2349.0,157.0,73.0,73.0,924.0,2015-12-20T17:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Devils at Bruins,2015-12-20T22:00:00,0.81355,False,2015-12-21T02:00:00,2666925,Boston Bruins,New Jersey Devils,0.77834,0.71198,2015-12-20,22:00:00,22
10,10,2328.0,147.0,67.0,67.0,1144.0,2015-12-22T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Blues at Bruins,2015-12-23T00:00:00,0.81249,False,2015-12-23T04:00:00,2666943,Boston Bruins,St. Louis Blues,0.77834,0.711,2015-12-23,00:00:00,25
11,11,2254.0,230.0,108.0,108.0,10453.0,2015-12-26T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Sabres at Bruins,2015-12-27T00:00:00,0.82871,False,2015-12-27T04:00:00,2666922,Boston Bruins,Buffalo Sabres,0.77834,0.71332,2015-12-27,00:00:00,29
12,12,476.0,141.5,57.0,57.0,910.0,2015-12-27T17:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72568,ON,2015-06-27T00:00:00,Bruins at Senators,2015-12-27T22:00:00,0.73438,False,2015-12-28T02:00:00,2666686,Ottawa Senators,Boston Bruins,0.65117,0.77834,2015-12-27,22:00:00,29
13,13,2302.0,173.0,91.0,91.0,1145.0,2015-12-29T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Senators at Bruins,2015-12-30T00:00:00,0.82024,False,2015-12-30T04:00:00,2666932,Boston Bruins,Ottawa Senators,0.77834,0.65117,2015-12-30,00:00:00,32
14,16,2575.0,154.0,77.0,77.0,924.0,2016-01-05T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Capitals at Bruins,2016-01-06T00:00:00,0.82254,False,2016-01-06T04:00:00,2666917,Boston Bruins,Washington Capitals,0.77834,0.7341,2016-01-06,00:00:00,39
15,17,1152.0,94.0,37.0,37.0,1138.0,2016-01-08T19:00:00,2015-06-27T00:00:00,165 Mulberry Street,Newark,US,"Newark, NJ 07102",1500,Prudential Center,07102,0.78781,NJ,2015-06-27T00:00:00,Bruins at Devils,2016-01-09T00:00:00,0.76668,False,2016-01-09T04:00:00,2666446,New Jersey Devils,Boston Bruins,0.71198,0.77834,2016-01-09,00:00:00,42
16,18,464.0,127.0,47.0,47.0,773.0,2016-01-09T19:00:00,2015-06-27T00:00:00,1000 Paladium Drive,Kanata,Canada,"Kanata, Canada",150,Canadian Tire Centre,K2V 1A5,0.72568,ON,2015-06-27T00:00:00,Bruins at Senators,2016-01-10T00:00:00,0.73175,False,2016-01-10T04:00:00,2666674,Ottawa Senators,Boston Bruins,0.65117,0.77834,2016-01-10,00:00:00,43
17,19,2412.0,226.5,122.0,118.0,2067.0,2016-01-11T19:00:00,2015-06-27T00:00:00,4 Pennsylvania Plaza,New York,US,"New York, NY 10001",93,Madison Square Garden,10001,0.89811,NY,2015-06-27T00:00:00,Bruins at Rangers,2016-01-12T00:00:00,0.84502,False,2016-01-12T04:00:00,2666369,New York Rangers,Boston Bruins,0.79799,0.77834,2016-01-12,00:00:00,45
18,20,2498.0,101.0,42.0,42.0,2171.0,2016-01-13T20:00:00,2015-06-27T00:00:00,3601 S Broad St,Philadelphia,US,"Philadelphia, PA 19148",3148,Wells Fargo Center,19148,0.81648,PA,2015-06-27T00:00:00,Bruins at Flyers,2016-01-14T01:00:00,0.806,False,2016-01-14T05:00:00,2666911,Philadelphia Flyers,Boston Bruins,0.75235,0.77834,2016-01-14,01:00:00,47
19,21,609.0,141.0,44.0,44.0,573.0,2016-01-15T19:00:00,2015-06-27T00:00:00,1 Seymour H. Knox III Plaza,Buffalo,US,"Buffalo, NY 14203",212,First Niagara Center,14203,0.79655,NY,2015-06-27T00:00:00,Bruins at Sabres,2016-01-16T00:00:00,0.75392,False,2016-01-16T04:00:00,2666329,Buffalo Sabres,Boston Bruins,0.71332,0.77834,2016-01-16,00:00:00,49
20,22,2173.0,207.0,106.0,106.0,1150.0,2016-01-16T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Maple Leafs at Bruins,2016-01-17T00:00:00,0.82617,False,2016-01-17T04:00:00,2666946,Boston Bruins,Toronto Maple Leafs,0.77834,0.71521,2016-01-17,00:00:00,50
21,23,745.0,319.5,118.0,118.0,1161.0,2016-01-19T19:30:00,2015-06-27T00:00:00,1909 Avenue des Canadiens-de-Montreal,Montreal,Canada,"Montreal, Canada",139,Bell Centre,H3C 5L2,0.76009,QC,2015-06-27T00:00:00,Bruins at Canadiens,2016-01-20T00:30:00,0.77493,False,2016-01-20T04:30:00,2667202,Montreal Canadiens,Boston Bruins,0.70075,0.77834,2016-01-20,00:30:00,53
22,24,2706.0,147.0,68.0,68.0,1160.0,2016-01-21T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Canucks at Bruins,2016-01-22T00:00:00,0.81797,False,2016-01-22T04:00:00,2666945,Boston Bruins,Vancouver Canucks,0.77834,0.67661,2016-01-22,00:00:00,55
23,25,2724.0,186.0,90.0,90.0,1160.0,2016-01-23T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Blue Jackets at Bruins,2016-01-24T00:00:00,0.81999,False,2016-01-24T04:00:00,2666940,Boston Bruins,Columbus Blue Jackets,0.77834,0.62453,2016-01-24,00:00:00,57
24,26,2912.0,98.0,36.0,36.0,1943.0,2016-01-25T19:00:00,2015-06-27T00:00:00,3601 S Broad St,Philadelphia,US,"Philadelphia, PA 19148",3148,Wells Fargo Center,19148,0.81648,PA,2015-06-27T00:00:00,Bruins at Flyers,2016-01-26T00:00:00,0.80796,False,2016-01-26T04:00:00,2666910,Philadelphia Flyers,Boston Bruins,0.75235,0.77834,2016-01-26,00:00:00,59
25,27,2997.0,136.0,60.0,60.0,1160.0,2016-01-26T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Ducks at Bruins,2016-01-27T00:00:00,0.8185,False,2016-01-27T04:00:00,2666915,Boston Bruins,Anaheim Ducks,0.77834,0.68513,2016-01-27,00:00:00,60
26,28,3132.0,141.0,65.0,65.0,1160.0,2016-02-02T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Maple Leafs at Bruins,2016-02-03T00:00:00,0.82862,False,2016-02-03T04:00:00,2666938,Boston Bruins,Toronto Maple Leafs,0.77834,0.71521,2016-02-03,00:00:00,67
27,29,955.0,111.0,31.0,31.0,1187.0,2016-02-04T19:00:00,2015-06-27T00:00:00,1 Seymour H. Knox III Plaza,Buffalo,US,"Buffalo, NY 14203",212,First Niagara Center,14203,0.79655,NY,2015-06-27T00:00:00,Bruins at Sabres,2016-02-05T00:00:00,0.75978,False,2016-02-05T04:00:00,2666330,Buffalo Sabres,Boston Bruins,0.71332,0.77834,2016-02-05,00:00:00,69
28,30,2495.0,188.0,90.0,90.0,1160.0,2016-02-06T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Sabres at Bruins,2016-02-07T00:00:00,0.82186,False,2016-02-07T04:00:00,2666920,Boston Bruins,Buffalo Sabres,0.77834,0.71332,2016-02-07,00:00:00,71
29,31,2577.0,170.0,73.0,73.0,1160.0,2016-02-09T19:00:00,2015-06-27T00:00:00,100 Legends Way,Boston,US,"Boston, MA 02114",1544,TD Garden,02114,0.85472,MA,2015-06-27T00:00:00,Kings at Bruins,2016-02-10T00:00:00,0.82729,False,2016-02-10T04:00:00,2666934,Boston Bruins,Los Angeles Kings,0.77834,0.75507,2016-02-10,00:00:00,74
