,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,18,0,1.0,-,10-0,8-0,6-0,14-0,115.8,99.8,16.0,W18,10-0
1,San Antonio SpursSA,14,3,0.824,3.5,9-0,5-3,2-1,8-2,99.4,89.7,9.7,W5,9-1
2,Cleveland CavaliersCLE,13,4,0.765,4.5,9-0,4-4,2-3,11-4,103.1,96.5,6.5,W2,7-3
3,Indiana PacersIND,10,5,0.667,6.5,6-2,4-3,3-2,9-3,101.5,95.1,6.4,W4,8-2
4,Miami HeatMIA,10,5,0.667,6.5,8-2,2-3,1-1,5-4,96.3,91.7,4.7,W1,7-3
5,Oklahoma City ThunderOKC,11,6,0.647,6.5,8-3,3-3,2-0,6-2,109.4,102.8,6.6,W4,7-3
6,Toronto RaptorsTOR,11,6,0.647,6.5,4-1,7-5,2-1,6-3,100.1,95.8,4.3,W4,6-4
7,Chicago BullsCHI,9,5,0.643,7,5-1,4-4,2-2,6-3,99.4,98.9,0.4,L1,6-4
8,Dallas MavericksDAL,10,7,0.588,7.5,5-2,5-5,2-3,8-5,100.1,99.1,1.0,W1,7-3
9,Charlotte HornetsCHA,10,7,0.588,7.5,8-2,2-5,1-3,6-6,102.5,98.8,3.7,W1,7-3
10,Atlanta HawksATL,11,8,0.579,7.5,6-3,5-5,4-0,7-4,102.2,100.3,1.9,L1,4-6
11,Boston CelticsBOS,9,7,0.563,8,6-4,3-3,3-2,7-5,102.5,96.9,5.6,W2,6-4
12,Utah JazzUTAH,8,7,0.533,8.5,3-2,5-5,1-2,4-3,95.5,93.2,2.3,W2,5-5
13,Memphis GrizzliesMEM,9,8,0.529,8.5,5-3,4-5,3-1,7-6,96.5,100.4,-3.9,L1,6-4
14,Los Angeles ClippersLAC,8,8,0.5,9,6-4,2-4,3-3,7-7,103.3,102.8,0.4,W1,4-6
15,Minnesota TimberwolvesMIN,8,8,0.5,9,2-6,6-2,1-1,3-3,101.3,101.1,0.2,W3,4-6
16,Detroit PistonsDET,8,8,0.5,9,4-2,4-6,2-2,4-3,96.3,96.7,-0.4,L1,3-7
17,Orlando MagicORL,8,8,0.5,9,6-3,2-5,0-2,4-5,101.4,100.6,0.8,W2,6-4
18,New York KnicksNY,8,9,0.471,9.5,3-5,5-4,1-0,4-8,96.1,97.8,-1.7,L3,5-5
19,Phoenix SunsPHX,7,9,0.438,10,5-5,2-4,3-2,7-7,106.2,105.4,0.8,L4,4-6
20,Washington WizardsWSH,6,8,0.429,10,3-4,3-4,2-2,5-7,99.2,105.1,-5.9,L4,3-7
21,Portland Trail BlazersPOR,7,10,0.412,10.5,4-4,3-6,2-1,7-7,100.8,100.9,-0.2,W1,3-7
22,Houston RocketsHOU,6,10,0.375,11,4-7,2-3,0-3,4-6,100.8,107.3,-6.5,W1,3-7
23,Denver NuggetsDEN,6,11,0.353,11.5,3-6,3-5,1-3,5-11,97.8,103.7,-5.9,L6,3-7
24,Milwaukee BucksMIL,6,11,0.353,11.5,4-4,2-7,2-2,6-9,96.9,105.0,-8.1,L3,2-8
25,Sacramento KingsSAC,6,12,0.333,12,4-6,2-6,1-5,1-9,104.9,109.1,-4.2,L2,5-5
26,New Orleans PelicansNO,4,13,0.235,13.5,3-4,1-9,2-1,4-8,101.5,108.9,-7.4,L2,3-7
27,Brooklyn NetsBKN,3,13,0.188,14,2-3,1-10,1-1,2-7,96.3,103.8,-7.5,L2,3-7
28,Los Angeles LakersLAL,2,13,0.133,14.5,1-5,1-8,0-3,0-9,96.7,105.9,-9.3,L5,1-9
29,Philadelphia 76ersPHI,0,17,0.0,17.5,0-7,0-10,0-3,0-11,91.2,103.5,-12.3,L17,0-10
