,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,19,0,1.0,-,10-0,9-0,6-0,15-0,115.3,99.9,15.3,W19,10-0
1,San Antonio SpursSA,14,4,0.778,4.5,9-0,5-4,2-1,8-2,98.8,89.8,9.0,L1,8-2
2,Cleveland CavaliersCLE,13,5,0.722,5.5,9-1,4-4,2-3,11-5,102.1,96.6,5.5,L1,6-4
3,Indiana PacersIND,11,5,0.688,6.5,6-2,5-3,3-2,9-3,101.8,95.6,6.2,W5,8-2
4,Chicago BullsCHI,10,5,0.667,7,6-1,4-4,2-2,6-3,98.9,98.3,0.6,W1,7-3
5,Miami HeatMIA,10,6,0.625,7.5,8-3,2-3,1-1,5-5,96.3,92.5,3.8,L1,7-3
6,Oklahoma City ThunderOKC,11,7,0.611,7.5,8-3,3-4,2-0,6-2,108.9,103.0,5.9,L1,6-4
7,Toronto RaptorsTOR,11,7,0.611,7.5,4-2,7-5,2-1,6-3,100.2,96.4,3.8,L1,6-4
8,Atlanta HawksATL,12,8,0.6,7.5,7-3,5-5,4-0,7-4,102.3,100.3,2.1,W1,4-6
9,Charlotte HornetsCHA,10,7,0.588,8,8-2,2-5,1-3,6-6,102.5,98.8,3.7,W1,7-3
10,Memphis GrizzliesMEM,11,8,0.579,8,6-3,5-5,4-1,8-6,97.1,99.7,-2.6,W2,8-2
11,Dallas MavericksDAL,11,8,0.579,8,5-2,6-6,2-3,9-6,100.8,100.5,0.3,W1,6-4
12,Los Angeles ClippersLAC,10,8,0.556,8.5,8-4,2-4,3-3,9-7,103.4,101.7,1.7,W3,5-5
13,Orlando MagicORL,10,8,0.556,8.5,7-3,3-5,0-2,5-5,101.6,99.6,1.9,W4,7-3
14,Boston CelticsBOS,10,8,0.556,8.5,6-4,4-4,3-2,8-6,102.0,97.5,4.5,W1,6-4
15,Utah JazzUTAH,8,8,0.5,9.5,3-3,5-5,1-2,4-4,96.0,94.0,2.0,L1,4-6
16,Detroit PistonsDET,9,9,0.5,9.5,5-2,4-7,2-2,4-4,96.6,96.6,0.0,W1,4-6
17,Washington WizardsWSH,7,8,0.467,10,3-4,4-4,2-2,6-7,99.1,103.8,-4.7,W1,4-6
18,Phoenix SunsPHX,8,10,0.444,10.5,5-5,3-5,3-2,7-7,105.4,104.6,0.8,L1,4-6
19,Minnesota TimberwolvesMIN,8,10,0.444,10.5,2-7,6-3,1-1,3-4,100.7,101.1,-0.4,L2,4-6
20,New York KnicksNY,8,10,0.444,10.5,3-6,5-4,1-0,4-8,96.9,98.8,-1.9,L4,4-6
21,Houston RocketsHOU,7,11,0.389,11.5,4-7,3-4,0-3,4-6,101.8,107.9,-6.1,L1,3-7
22,Milwaukee BucksMIL,7,11,0.389,11.5,5-4,2-7,2-2,6-9,96.7,103.3,-6.6,W1,3-7
23,Portland Trail BlazersPOR,7,12,0.368,12,4-5,3-7,2-1,7-9,100.6,101.7,-1.1,L2,3-7
24,Sacramento KingsSAC,7,12,0.368,12,5-6,2-6,1-5,2-9,105.3,108.5,-3.2,W1,5-5
25,Denver NuggetsDEN,6,12,0.333,12.5,3-6,3-6,1-3,5-11,96.5,103.1,-6.6,L7,2-8
26,Brooklyn NetsBKN,5,13,0.278,13.5,4-3,1-10,1-1,3-7,95.7,101.9,-6.3,W2,4-6
27,New Orleans PelicansNO,4,14,0.222,14.5,3-5,1-9,2-2,4-9,101.7,109.1,-7.4,L3,3-7
28,Los Angeles LakersLAL,2,15,0.118,16,1-6,1-9,0-3,0-9,96.7,105.8,-9.1,L7,1-9
29,Philadelphia 76ersPHI,1,18,0.053,18,1-7,0-11,0-3,0-11,91.4,102.2,-10.8,W1,1-9
