,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,18,0,1.0,-,10-0,8-0,6-0,14-0,115.8,99.8,16.0,W18,10-0
1,San Antonio SpursSA,14,3,0.824,3.5,9-0,5-3,2-1,8-2,99.4,89.7,9.7,W5,9-1
2,Cleveland CavaliersCLE,13,4,0.765,4.5,9-0,4-4,2-3,11-4,103.1,96.5,6.5,W2,7-3
3,Indiana PacersIND,11,5,0.688,6,6-2,5-3,3-2,9-3,101.8,95.6,6.2,W5,8-2
4,Miami HeatMIA,10,5,0.667,6.5,8-2,2-3,1-1,5-4,96.3,91.7,4.7,W1,7-3
5,Oklahoma City ThunderOKC,11,6,0.647,6.5,8-3,3-3,2-0,6-2,109.4,102.8,6.6,W4,7-3
6,Chicago BullsCHI,9,5,0.643,7,5-1,4-4,2-2,6-3,99.4,98.9,0.4,L1,6-4
7,Toronto RaptorsTOR,11,7,0.611,7,4-2,7-5,2-1,6-3,100.2,96.4,3.8,L1,6-4
8,Dallas MavericksDAL,10,7,0.588,7.5,5-2,5-5,2-3,8-5,100.1,99.1,1.0,W1,7-3
9,Charlotte HornetsCHA,10,7,0.588,7.5,8-2,2-5,1-3,6-6,102.5,98.8,3.7,W1,7-3
10,Atlanta HawksATL,11,8,0.579,7.5,6-3,5-5,4-0,7-4,102.2,100.3,1.9,L1,4-6
11,Memphis GrizzliesMEM,10,8,0.556,8,6-3,4-5,3-1,7-6,96.2,99.5,-3.3,W1,7-3
12,Utah JazzUTAH,8,7,0.533,8.5,3-2,5-5,1-2,4-3,95.5,93.2,2.3,W2,5-5
13,Los Angeles ClippersLAC,9,8,0.529,8.5,7-4,2-4,3-3,8-7,103.5,102.6,0.9,W2,4-6
14,Orlando MagicORL,9,8,0.529,8.5,7-3,2-5,0-2,5-5,101.9,100.0,1.9,W3,6-4
15,Boston CelticsBOS,9,8,0.529,8.5,6-4,3-4,3-2,7-6,101.8,97.6,4.2,L1,6-4
16,Phoenix SunsPHX,8,9,0.471,9.5,5-5,3-4,3-2,7-7,106.2,105.2,1.0,W1,5-5
17,Minnesota TimberwolvesMIN,8,9,0.471,9.5,2-6,6-3,1-1,3-4,101.2,101.4,-0.2,L1,4-6
18,Detroit PistonsDET,8,9,0.471,9.5,4-2,4-7,2-2,4-4,95.5,96.1,-0.6,L2,3-7
19,New York KnicksNY,8,10,0.444,10,3-6,5-4,1-0,4-8,96.9,98.8,-1.9,L4,4-6
20,Washington WizardsWSH,6,8,0.429,10,3-4,3-4,2-2,5-7,99.2,105.1,-5.9,L4,3-7
21,Houston RocketsHOU,7,10,0.412,10.5,4-7,3-3,0-3,4-6,101.6,107.5,-5.8,W2,3-7
22,Portland Trail BlazersPOR,7,10,0.412,10.5,4-4,3-6,2-1,7-7,100.8,100.9,-0.2,W1,3-7
23,Denver NuggetsDEN,6,11,0.353,11.5,3-6,3-5,1-3,5-11,97.8,103.7,-5.9,L6,3-7
24,Milwaukee BucksMIL,6,11,0.353,11.5,4-4,2-7,2-2,6-9,96.9,105.0,-8.1,L3,2-8
25,Sacramento KingsSAC,6,12,0.333,12,4-6,2-6,1-5,1-9,104.9,109.1,-4.2,L2,5-5
26,Brooklyn NetsBKN,4,13,0.235,13.5,3-3,1-10,1-1,3-7,95.8,102.6,-6.8,W1,4-6
27,New Orleans PelicansNO,4,13,0.235,13.5,3-4,1-9,2-1,4-8,101.5,108.9,-7.4,L2,3-7
28,Los Angeles LakersLAL,2,14,0.125,15,1-6,1-8,0-3,0-9,97.1,106.0,-8.9,L6,1-9
29,Philadelphia 76ersPHI,0,18,0.0,18,0-7,0-11,0-3,0-11,90.8,102.8,-12.1,L18,0-10
