,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,22,0,1.0,-,10-0,12-0,6-0,15-0,115.1,100.2,14.9,W22,10-0
1,San Antonio SpursSA,18,4,0.818,4,11-0,7-4,3-1,9-2,100.2,88.3,11.9,W4,9-1
2,Cleveland CavaliersCLE,13,7,0.65,8,9-1,4-6,2-3,11-6,101.4,97.6,3.9,L3,5-5
3,Indiana PacersIND,12,7,0.632,8.5,6-2,6-5,3-2,9-3,103.3,98.2,5.1,L2,7-3
4,Miami HeatMIA,12,7,0.632,8.5,10-4,2-3,1-2,6-6,96.8,93.3,3.5,L1,6-4
5,Chicago BullsCHI,11,7,0.611,9,7-3,4-4,2-2,6-4,98.8,98.3,0.6,L2,6-4
6,Oklahoma City ThunderOKC,12,8,0.6,9,9-3,3-5,2-0,7-2,107.7,102.3,5.3,W1,6-4
7,Charlotte HornetsCHA,12,8,0.6,9,9-3,3-5,1-3,8-6,102.3,98.8,3.6,W2,7-3
8,Dallas MavericksDAL,13,9,0.591,9,5-3,8-6,2-4,9-7,101.4,100.5,1.0,W2,5-5
9,Toronto RaptorsTOR,13,9,0.591,9,5-4,8-5,2-1,7-3,100.7,96.9,3.8,W1,6-4
10,Atlanta HawksATL,13,9,0.591,9,8-4,5-5,4-0,7-5,101.5,99.5,2.0,W1,5-5
11,Los Angeles ClippersLAC,12,9,0.571,9.5,9-5,3-4,3-3,10-7,103.1,102.0,1.1,W2,6-4
12,Memphis GrizzliesMEM,12,9,0.571,9.5,7-4,5-5,4-2,9-7,96.3,99.6,-3.2,W1,7-3
13,Boston CelticsBOS,12,9,0.571,9.5,6-4,6-5,3-2,8-6,103.1,97.8,5.4,W1,6-4
14,Orlando MagicORL,11,9,0.55,10,7-3,4-6,0-2,5-5,101.6,99.5,2.1,L1,6-4
15,Detroit PistonsDET,12,10,0.545,10,8-2,4-8,3-2,5-5,98.3,97.8,0.5,L1,5-5
16,Utah JazzUTAH,9,9,0.5,11,4-4,5-5,1-2,4-4,97.3,95.9,1.4,W1,5-5
17,Houston RocketsHOU,10,11,0.476,11.5,6-7,4-4,2-3,7-6,102.9,107.3,-4.4,W3,6-4
18,Washington WizardsWSH,9,10,0.474,11.5,4-6,5-4,3-2,7-7,100.9,104.7,-3.8,W1,4-6
19,New York KnicksNY,10,12,0.455,12,5-7,5-5,3-0,6-9,97.2,98.5,-1.2,L2,4-6
20,Phoenix SunsPHX,9,13,0.409,13,5-5,4-8,3-2,7-8,105.5,105.2,0.3,W1,2-8
21,Portland Trail BlazersPOR,9,13,0.409,13,5-5,4-8,3-1,8-9,101.5,101.7,-0.2,L1,5-5
22,Milwaukee BucksMIL,9,13,0.409,13,7-4,2-9,2-3,7-10,95.5,101.6,-6.1,W2,4-6
23,Minnesota TimberwolvesMIN,8,12,0.4,13,2-9,6-3,1-2,3-6,101.1,101.9,-0.8,L4,4-6
24,Denver NuggetsDEN,8,13,0.381,13.5,3-6,5-7,1-3,5-11,97.2,103.0,-5.9,W2,2-8
25,Sacramento KingsSAC,7,15,0.318,15,5-7,2-8,1-5,2-11,104.8,108.8,-4.0,L3,3-7
26,Brooklyn NetsBKN,5,15,0.25,16,4-4,1-11,1-2,3-8,95.6,102.8,-7.3,L2,4-6
27,New Orleans PelicansNO,5,16,0.238,16.5,4-6,1-10,2-3,4-10,101.8,109.1,-7.3,L1,4-6
28,Los Angeles LakersLAL,3,18,0.143,18.5,1-6,2-12,0-3,0-9,96.3,105.5,-9.2,L3,1-9
29,Philadelphia 76ersPHI,1,21,0.045,21,1-9,0-12,0-4,0-12,90.8,103.1,-12.3,L3,1-9
