,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,20,0,1.0,-,10-0,10-0,6-0,15-0,115.3,99.9,15.4,W20,10-0
1,San Antonio SpursSA,16,4,0.8,4,10-0,6-4,3-1,9-2,98.8,88.5,10.3,W2,8-2
2,Chicago BullsCHI,11,5,0.688,7,7-1,4-4,2-2,6-3,98.9,97.8,1.1,W2,7-3
3,Cleveland CavaliersCLE,13,6,0.684,6.5,9-1,4-5,2-3,11-5,102.4,97.5,4.9,L2,5-5
4,Indiana PacersIND,12,6,0.667,7,6-2,6-4,3-2,9-3,102.4,96.8,5.6,L1,8-2
5,Miami HeatMIA,11,6,0.647,7.5,9-3,2-3,1-1,5-5,96.3,92.6,3.6,W1,7-3
6,Toronto RaptorsTOR,12,8,0.6,8,4-3,8-5,2-1,7-3,100.2,96.3,3.8,L1,5-5
7,Atlanta HawksATL,13,9,0.591,8,8-4,5-5,4-0,7-5,101.5,99.5,2.0,W1,5-5
8,Oklahoma City ThunderOKC,11,8,0.579,8.5,8-3,3-5,2-0,6-2,108.2,102.7,5.5,L2,5-5
9,Orlando MagicORL,11,8,0.579,8.5,7-3,4-5,0-2,5-5,101.6,99.3,2.3,W5,7-3
10,Boston CelticsBOS,11,8,0.579,8.5,6-4,5-4,3-2,8-6,102.6,97.5,5.2,W2,6-4
11,Charlotte HornetsCHA,10,8,0.556,9,8-3,2-5,1-3,6-6,102.3,99.7,2.6,L1,6-4
12,Memphis GrizzliesMEM,11,9,0.55,9,6-4,5-5,4-2,8-7,96.4,99.9,-3.5,L1,7-3
13,Dallas MavericksDAL,11,9,0.55,9,5-3,6-6,2-4,9-7,100.6,100.4,0.1,L1,5-5
14,Detroit PistonsDET,11,9,0.55,9,7-2,4-7,3-2,5-4,98.4,97.8,0.6,W3,6-4
15,Los Angeles ClippersLAC,10,9,0.526,9.5,8-5,2-4,3-3,9-7,102.7,101.8,0.9,L1,5-5
16,New York KnicksNY,10,10,0.5,10,5-6,5-4,3-0,6-8,97.6,97.8,-0.2,W2,6-4
17,Utah JazzUTAH,8,9,0.471,10.5,3-4,5-5,1-2,4-4,95.9,94.5,1.4,L2,4-6
18,Washington WizardsWSH,8,9,0.471,10.5,4-5,4-4,2-2,6-7,99.9,104.2,-4.2,W1,5-5
19,Houston RocketsHOU,9,11,0.45,11,5-7,4-4,2-3,6-6,102.1,107.0,-4.9,W2,5-5
20,Minnesota TimberwolvesMIN,8,10,0.444,11,2-7,6-3,1-1,3-4,100.7,101.1,-0.4,L2,4-6
21,Phoenix SunsPHX,8,12,0.4,12,5-5,3-7,3-2,7-7,106.3,105.9,0.3,L3,2-8
22,Portland Trail BlazersPOR,8,12,0.4,12,5-5,3-7,2-1,7-9,101.8,102.2,-0.4,W1,4-6
23,Denver NuggetsDEN,7,13,0.35,13,3-6,4-7,1-3,5-11,96.7,102.9,-6.3,W1,2-8
24,Milwaukee BucksMIL,7,13,0.35,13,5-4,2-9,2-3,6-10,95.3,102.8,-7.6,L2,2-8
25,Sacramento KingsSAC,7,13,0.35,13,5-7,2-6,1-5,2-9,104.8,108.8,-3.9,L1,4-6
26,Brooklyn NetsBKN,5,14,0.263,14.5,4-3,1-11,1-2,3-8,95.4,102.3,-6.8,L1,4-6
27,New Orleans PelicansNO,5,15,0.25,15,4-5,1-10,2-3,4-10,102.3,109.0,-6.8,W1,4-6
28,Los Angeles LakersLAL,3,16,0.158,16.5,1-6,2-10,0-3,0-9,96.8,105.4,-8.6,L1,2-8
29,Philadelphia 76ersPHI,1,19,0.05,19,1-7,0-12,0-4,0-12,91.2,102.1,-10.9,L1,1-9
