,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,23,0,1.0,-,10-0,13-0,6-0,15-0,115.8,101.2,14.6,W23,10-0
1,San Antonio SpursSA,18,5,0.783,5,11-0,7-5,3-1,9-2,99.9,88.7,11.2,L1,8-2
2,Cleveland CavaliersCLE,14,7,0.667,8,10-1,4-6,2-3,11-6,101.6,97.7,4.0,W1,6-4
3,Charlotte HornetsCHA,13,8,0.619,9,10-3,3-5,2-3,9-6,102.2,97.9,4.3,W3,8-2
4,Oklahoma City ThunderOKC,13,8,0.619,9,9-3,4-5,2-0,8-2,108.5,101.6,6.9,W2,7-3
5,Toronto RaptorsTOR,14,9,0.609,9,6-4,8-5,2-1,7-3,100.5,96.8,3.7,W2,7-3
6,Atlanta HawksATL,14,9,0.609,9,8-4,6-5,4-0,7-5,101.3,99.3,2.1,W2,6-4
7,Indiana PacersIND,12,8,0.6,9.5,6-3,6-5,3-2,9-3,104.3,99.8,4.4,L3,6-4
8,Miami HeatMIA,12,8,0.6,9.5,10-4,2-4,1-3,6-7,96.0,93.6,2.4,L2,6-4
9,Los Angeles ClippersLAC,13,9,0.591,9.5,9-5,4-4,3-3,10-7,103.4,101.6,1.7,W3,7-3
10,Boston CelticsBOS,13,9,0.591,9.5,7-4,6-5,3-2,9-6,103.2,97.9,5.4,W2,6-4
11,Chicago BullsCHI,11,8,0.579,10,7-3,4-5,2-2,6-5,98.9,98.6,0.3,L3,5-5
12,Memphis GrizzliesMEM,13,10,0.565,10,7-5,6-5,4-2,9-8,95.8,100.3,-4.5,W1,6-4
13,Dallas MavericksDAL,13,10,0.565,10,5-4,8-6,2-4,9-7,101.1,100.3,0.8,L1,4-6
14,Orlando MagicORL,12,10,0.545,10.5,7-3,5-7,0-2,5-5,101.0,98.7,2.3,L1,6-4
15,Detroit PistonsDET,12,11,0.522,11,8-3,4-8,3-2,5-5,98.0,97.6,0.5,L2,5-5
16,Utah JazzUTAH,10,10,0.5,11.5,5-4,5-6,1-2,4-5,98.2,96.3,1.9,W1,5-5
17,Houston RocketsHOU,11,12,0.478,12,6-7,5-5,2-3,7-6,103.3,107.2,-4.0,W1,6-4
18,Washington WizardsWSH,9,11,0.45,12.5,4-7,5-4,3-2,7-7,101.0,104.9,-3.9,L1,3-7
19,Phoenix SunsPHX,10,13,0.435,13,6-5,4-8,3-2,7-8,105.6,105.2,0.4,W2,3-7
20,New York KnicksNY,10,13,0.435,13,5-7,5-6,3-0,6-9,96.7,98.8,-2.1,L3,3-7
21,Minnesota TimberwolvesMIN,9,12,0.429,13,3-9,6-3,1-2,4-6,102.1,102.9,-0.8,W1,4-6
22,Portland Trail BlazersPOR,9,14,0.391,14,5-5,4-9,3-1,8-9,101.4,101.8,-0.4,L2,5-5
23,Milwaukee BucksMIL,9,14,0.391,14,7-5,2-9,2-3,7-10,95.5,101.9,-6.4,L1,4-6
24,Denver NuggetsDEN,8,14,0.364,14.5,3-7,5-7,1-3,5-11,96.1,102.2,-6.1,L1,2-8
25,Sacramento KingsSAC,8,15,0.348,15,6-7,2-8,1-5,3-11,105.2,108.7,-3.5,W1,4-6
26,Brooklyn NetsBKN,6,15,0.286,16,5-4,1-11,1-2,3-8,96.2,103.0,-6.7,W1,4-6
27,New Orleans PelicansNO,5,16,0.238,17,4-6,1-10,2-3,4-10,101.8,109.1,-7.3,L1,4-6
28,Los Angeles LakersLAL,3,19,0.136,19.5,1-6,2-13,0-3,0-10,97.5,106.3,-8.8,L4,1-9
29,Philadelphia 76ersPHI,1,21,0.045,21.5,1-9,0-12,0-4,0-12,90.8,103.1,-12.3,L3,1-9
