,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,20,0,1.0,-,10-0,10-0,6-0,15-0,115.3,99.9,15.4,W20,10-0
1,San Antonio SpursSA,15,4,0.789,4.5,10-0,5-4,2-1,8-2,98.6,88.8,9.8,W1,8-2
2,Cleveland CavaliersCLE,13,5,0.722,6,9-1,4-4,2-3,11-5,102.1,96.6,5.5,L1,6-4
3,Indiana PacersIND,12,5,0.706,6.5,6-2,6-3,3-2,9-3,101.9,95.3,6.6,W6,9-1
4,Chicago BullsCHI,11,5,0.688,7,7-1,4-4,2-2,6-3,98.9,97.8,1.1,W2,7-3
5,Toronto RaptorsTOR,12,7,0.632,7.5,4-2,8-5,2-1,7-3,99.9,95.8,4.1,W1,6-4
6,Miami HeatMIA,10,6,0.625,8,8-3,2-3,1-1,5-5,96.3,92.5,3.8,L1,7-3
7,Oklahoma City ThunderOKC,11,7,0.611,8,8-3,3-4,2-0,6-2,108.9,103.0,5.9,L1,6-4
8,Memphis GrizzliesMEM,11,8,0.579,8.5,6-3,5-5,4-1,8-6,97.1,99.7,-2.6,W2,8-2
9,Dallas MavericksDAL,11,8,0.579,8.5,5-2,6-6,2-3,9-6,100.8,100.5,0.3,W1,6-4
10,Atlanta HawksATL,12,9,0.571,8.5,7-4,5-5,4-0,7-5,101.6,100.0,1.5,L1,4-6
11,Orlando MagicORL,10,8,0.556,9,7-3,3-5,0-2,5-5,101.6,99.6,1.9,W4,7-3
12,Boston CelticsBOS,10,8,0.556,9,6-4,4-4,3-2,8-6,102.0,97.5,4.5,W1,6-4
13,Charlotte HornetsCHA,10,8,0.556,9,8-3,2-5,1-3,6-6,102.3,99.7,2.6,L1,6-4
14,Los Angeles ClippersLAC,10,9,0.526,9.5,8-5,2-4,3-3,9-7,102.7,101.8,0.9,L1,5-5
15,Detroit PistonsDET,10,9,0.526,9.5,6-2,4-7,2-2,4-4,98.2,97.9,0.3,W2,5-5
16,Utah JazzUTAH,8,8,0.5,10,3-3,5-5,1-2,4-4,96.0,94.0,2.0,L1,4-6
17,New York KnicksNY,9,10,0.474,10.5,4-6,5-4,2-0,5-8,97.0,98.2,-1.2,W1,5-5
18,Minnesota TimberwolvesMIN,8,10,0.444,11,2-7,6-3,1-1,3-4,100.7,101.1,-0.4,L2,4-6
19,Washington WizardsWSH,7,9,0.438,11,3-5,4-4,2-2,6-7,99.4,104.1,-4.7,L1,4-6
20,Phoenix SunsPHX,8,11,0.421,11.5,5-5,3-6,3-2,7-7,106.3,105.8,0.5,L2,3-7
21,Houston RocketsHOU,8,11,0.421,11.5,5-7,3-4,1-3,5-6,102.2,107.6,-5.4,W1,4-6
22,Portland Trail BlazersPOR,7,12,0.368,12.5,4-5,3-7,2-1,7-9,100.6,101.7,-1.1,L2,3-7
23,Sacramento KingsSAC,7,12,0.368,12.5,5-6,2-6,1-5,2-9,105.3,108.5,-3.2,W1,5-5
24,Milwaukee BucksMIL,7,12,0.368,12.5,5-4,2-8,2-2,6-9,95.3,102.8,-7.6,L1,3-7
25,Denver NuggetsDEN,6,13,0.316,13.5,3-6,3-7,1-3,5-11,96.2,102.8,-6.7,L8,1-9
26,Brooklyn NetsBKN,5,13,0.278,14,4-3,1-10,1-1,3-7,95.7,101.9,-6.3,W2,4-6
27,New Orleans PelicansNO,4,15,0.211,15.5,3-5,1-10,2-3,4-10,101.6,109.1,-7.4,L4,3-7
28,Los Angeles LakersLAL,3,15,0.167,16,1-6,2-9,0-3,0-9,97.3,105.7,-8.4,W1,2-8
29,Philadelphia 76ersPHI,1,19,0.05,19,1-7,0-12,0-4,0-12,91.2,102.1,-10.9,L1,1-9
